PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
Saarn,,,,Planet,Temperate,,,,,,,,,,
Sabrix,,Sabrixin,Samix,Planet,Temperate,,,Human,,,,,,,
Saclas,,,,Planet,Barren,,,Ocsinin,,,,,,,
Sacorria,3rd,Sacor (Outlier),Corellian,Planet,Temperate forests,23,343,Human,,Dorthas Tal,Core Worlds,,Breathable,Standard,"11,500 kilometers"
Safe Home,Asteroid,Unknown,Unknown,Planet,Asteroid,,,,Various,,Unknown,,,,
Saffalore,,,Corporate,Planet,,,,,,,Tingel Arm,,,,
Sagma,,,,Planet,,,,Human?,,,,,,,
Saheelindeel,,,Tion Hegemony,Planet,Temperate,,,Saheelindeeli,Human,,Outer Rim,,,,
Saijo,,,,Planet,,,,,"Tof, Human",,,,,,
Sajun,5th,Colavas,,Planet,Frozen rock,,,,,,Outer Rim,,,,
Sakiya (Saki),,,,Planet,Tropical,,,Sakiyan,,,Hutt Space,,,,
Saleucami,,,,Planet,Jungle,,,,,,Outer Rim,,,,
Salliche,,,,Planet,Temperate,,,Human,,Netass,Core Worlds,,,,
Saloch (Jiroch-Saloch),5th,Jiroch,,Planet,,,,,"Tunroth, Duros",,,,,,
Saloch 2,6th,Jiroch,,Planet,Temperate,,,Tunroth,,,,,,,
Saloth,,,Minos Cluster,Planet,,,,,,,,,,,
Salteract,,,Rayter,Planet,,,,,,,,,,,
Samarine Province,,,,Planet,,,,,,,,,,,
Sanbra,,De'elta,Sanbra,Planet,,,,,,,,,,,
Sanctuary,,,,Planet,,,,Human,,,,,,,
Sanjin,,,,Planet,,,,,,,Core Worlds,,,,
Santarine,,,Hook Nebula,Planet,,,,Human,,,,,,,
Sanyassa IV,4th,Sanyassa,Moddell,Planet,Varied temperate,24,389,Sanyassan (Marauder),,,Outer Rim,,Breathable,Standard,
Sanza,,,,Planet,Temperate,,,Krish,,,Mid Rim,,,,
Sapella,,Sapella,Kathol,Planet,Temperate,,,,Human,,Outer Rim,,,,
Sappire,,,,Planet,,,,Human,,,,,,,
Sarafur (Kuna's Tail III),3rd,Kuna's Tail,Moddell,Planet,Desert (tide-locked),,240,,Various,,Outer Rim,,Breathable,Standard,
Sarahwiee,3rd,Bseto,,Planet,Frozen wastes,28,389,,Human,,Mid Rim,,,,
Sarapin,,Sarapin,,Planet,Volcanic,,,,,,,,,,
Sardoran,,,,Planet,,,,Human,,,,,,,
Sarka,,,,Planet,Jungle marshland,39,462,Sarkan,,,Mid Rim,,,,
Sarko VI,6th,Sarko,,Planet,,,,,,,,,,,
Sarranket,,,,Planet,,,,,,,,,,,
Sarrelon I,1st,Sarrelon,,Planet,Searing rock,,,None,None,,,,,,
Sarrelon II,2nd,Sarrelon,,Planet,Searing rock,,,None,None,,,,,,
Sarrelon III,3rd,Sarrelon,,Planet,Gas Giant,,,None,None,,,,,,
Sarrelon IV,4th,Sarrelon,,Planet,Gas Giant,,,None,None,,,,,,
Sarrelon V,5th,Sarrelon,,Planet,Gas Giant,,,None,None,,,,,,
Sarrelon VI,6th,Sarrelon,,Planet,Frozen,,,None,None,,,,,,
Sarrish,,,,Planet,,,,,,,,,,,
Sartoy,,,,Planet,,,,,,,,,,,
Sarvchi,,,,Planet,,,,Chiss,,,Unknown Region,,,,
Sasan,2nd,New Plympto,Corellian,Planet,Temperate,,,,,,Core Worlds,,,,
Sat'Skar,3rd,Coyn,Elrood,Planet,Hot wastelands,,,None,Microbes,,Outer Rim,,,,
Savrant,5th,Bacrana,Brak,Planet,Gas giant,,,,,,,,,,
Sayblohn,,Sayblohn,,Planet,,,,Okfili,,,,,,,
Scillal,,Scillal,Centrality,Planet,,,,,,,Outer Rim,,,,
Sebiris,3rd,Sebiris,Kathol,Planet,Jungle,22,277,Sebiri,,,Outer Rim,,,,
Sedesia,,,,Planet,Tundra,20,220,Human,,Besia Osurne,,,,,
Sedri,3rd,Sedri,,Planet,Shallow Oceans,18,286,"Sedrian,Golden Sun",,,,,,,
Seezars Planet,,,,Planet,,,,,,,,,,,
Seffi,3rd,Rhinnal,Darpa,Planet,Toxic oceans,,,,,,Core Worlds,,,,
Sefon,,Sefon,Tapani,Planet,,,,,,,Colonies,,,,
Seft,4th,Genesia,Brak,Planet,Gas giant,,,,,,,,,,
Seikosha,,Breago,,Planet,Jungle,28,422,Seikoshan,Various,,Borderlands,,,,
Seitia Prime,,,Hapes Cluster,Planet,,,,,,,Inner Rim,,,,
Selab,,Hapes,Hapes Cluster,Planet,,,,,,,Inner Rim,,,,
Selaggis Six,6th,Selaggis,,Planet,,,,,,,,,,,
Selenius VII,7th,Selenius,,Planet,,,,,,,,,,,
Selgon,1st,Axum,Azure (Sector Zero),Planet,Hot rock,,,,,,Core Worlds,,,,
Seline,,,,Planet,,,,,,,,,,,
Sellasas,,,,Planet,,,,,"Human, Srrors'tok",,,,,,
Selnesh,6th,Seltaine,Irishi,Planet,"Frigid, barren plains",27,489,,Human,,,,,,
Selonia,5th,Corellian,Corellian,Planet,Ocean,26,355,Selonian,"Drall, Human",,Core Worlds,,Breathable,Standard,"14,033 kilometers"
Seltaya,3rd,Ropagi,Mieru'kar,Planet,Frigid Rock,,,None,Human,,,,,,
Seltos,,Seltos,,Planet,"Forest, mountain",20,459,,Human,Somin City,,,,,
Selvaris,,Tantara,,Planet,Humid tropical,,,,,,,,,,
Sembla,,,,Planet,,,,Vurk,,,,,,,
Senali,,,,Planet,Ocean,,,Senali,Rutanian,,,,,,
Senna (Salvo),1st,Kessel,Kessel,Planet,Molten rock,,,,,,Outer Rim,,,,
Sennatt,,,,Planet,,,,,,,,,,,
