PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
Xa Fel,,,Kanchen,Planet,Urban,31,379,Xa Fel,,,,,,,
Xagobah,,,Seswenna?,Planet,,,,Xamster,,,Outer Rim,,,,
Xal 3,3rd,Xal,Ablajeck,Planet,,,,,,,Outer Rim,,,,
Xandil VII,7th,Xandil,,Planet,,,,,,,,,,,
Xartun,,,,Planet,,,,,,,,,,,
Xaza IV,4th,Xaza,,Planet,,,,,,,,,,,
Xend,,,,Planet,,,,,,,,,,,
Xeron,,,,Planet,,,,,,,,,,,
Xerton 9,9th,Xerton,,Planet,,,,,,,,,,,
Xerxes,,,,Planet,,,,,,,,,,,
Xiunsrus,,,Quence,Planet,,,,Human,,,,,,,
Xo,,,,Planet,Hostile plains,,,Zanibar,,,,,,,
Xobome 6,6th,Xobome,,Planet,,,,None,,,,,,,
Xoemefel,,,,Planet,,,,,,,,,,,
Xoman Free,,,,Planet,,,,,,,,,,,
Xuaquarres IV,4th,Xuaquarres,,Planet,Varied,,,,Duinuogwuin (Star Dragon),,,,,,
Xyquine,,,Corellian,Planet,,,,,,,Core Worlds,,,,
