PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
Faargau,7th,Zug,,Planet,Gas giant,,,,,,Core Worlds,,,,
Fabrin,,,,Planet,,,,,,,,,,,
Fadden,,,,Planet,,,,,Duros,,,,,,
Fahul,6th,Derilyn,Elrood,Planet,Rocky wastes,,,,,,Outer Rim,,,,
Fait d'Fait,,,Rayter,Planet,Temperate,,,,,,,,,,
Fakir,,Fakir,Fakir,Planet,,,,,,,,,,,
Fal,3rd,Obas,,Planet,,,,,,,,,,,
Falk,5th,Genesia,Brak,Planet,Gas giant,,,,,,,,,,
Falleen,,Falleen,,Planet,,,,Falleen,,,Mid Rim,,,,
Fangol,,,Mortex,Planet,"Toxic, icy wastes",,,,,,,,,,
Far Qasqi,7th,Centares,,Planet,Gas giant,,,,,,Mid Rim,,,,
Farboon,,,,Planet,,,,,,,,,,,
Farfeld II,2nd,Farfeld,,Planet,,,,,,,,,,,
Farrfin,,Farrfin,Farrfin,Planet,Temperate,29,388,Farghul,Human,,,,,,
Farsellah,,,,Planet,,,,,,,,,,,
Farstey,,,,Planet,,,,,,,,,,,
Farstine,,,,Planet,Methane plains,,,,,,,,,,
Faz,,Koornacht Cluster,Farlax,Planet,,,,Yevetha,,,Core Worlds,,,,
F'Dann IX,,,Dufilvian?,Planet,,,,Human?,,,Outer Rim,,,,
Fedalle,,,,Planet,,,,,,,Core Worlds,,,,
Fedje,,,,Planet,Forest,,,,,,,,,,
Feenicks VI,,,,Planet,,,,,,,,,,,
Fef,,,,Planet,"Dense, hot",,,Fefze,,,,,,,
Fehern,,,Trax,Planet,Temperate,,,Eddel,Human,,,,,,
Felacat,,,,Planet,Temperate,,,Felacatian,,,,,,,
Felucia,,,,Planet,,,,,,,Outer Rim,,,,
Fendry,,,,Planet,Gas giant,,,,,,,,,,
Fengrine,,,,Planet,Temperate,,,,,,,,,,
Fenion,,,,Planet,,,,,,,,,,,
Fennesa,,,,Planet,Mountains,,,,,,,,,,
Fenves,,,,Planet,,,,,Devaronian,,,,,,
Fere (Feree),,,,Planet,Desolate,,,Fere (extinct),,,,,,,
Ferrhast,,,,Planet,,,,Human,,,,,,,
Ferro,,Ferro,,Planet,,,1104,Human,,,,,,,
Ferros VI,,,,Planet,,,,,,,,,,,
Ferxani,5th,Polith,,Planet,Gas giant,,,,,,,,,,
Fest,,Fest,Atrivis,Planet,Mountains,,,Human?,,,,,,,
Fether,,,,Planet,Arid wastes,,,,,,,,,,
Fibuli,,,Corporate,Planet,,,,,Trianii,,Tingel Arm,,,,
Fiddanl (96NK3F2),1st,Yavin,Sumitra,Planet,Searing rock and molten mercury,18,276,None,None,,Outer Rim,,Toxic,,
Filo,1st,Centares,,Planet,Gas giant,,,,,,Mid Rim,,,,
Filordis,,,,Planet,,,,Filordi,,,,,,,
Filve,,,Dufilvian,Planet,Urban desert,14,110,Filvian,,,Outer Rim,,,,
Findris,,Findris,Findris,Planet,Temperate,,,Human,,,,,,,
Firrerre,,Firrerre,Firrerre,Planet,Toxic,,,Firrerreo,,,Outer Rim,,,,
Firro,,,Farrfin,Planet,,,,Human?,,,,,,,
Fitca Prime,,Fitca,Lesser Plooriod Cluster,Planet,,,,,,,,,,,
Flandar,3rd,Thanta Zilbra,,Planet,Barren rock,,,,,,,,,,
Flankers (destroyed),,Flankers,Fakir,Planet,,,,,,,,,,,
Flax,,Ptera,Sumitra,Planet,Varied,,,Flakax,,,,,,,
Fleyars IV,4th,Fleyars,,Planet,,,,,,,,,,,
Flitter,,Tierfon,,Planet,Varied,,,Human,,,,,,,
Florn,,,,Planet,Hostile,,,Lamproid,,,,,,,
Flotsam,3rd,Belgaroth,,Planet,Barren rock,,,,,,Core Worlds,,,,
Fluwhaka,,,,Planet,Mountains,,,,,,,,,,
Fnessal,,,,Planet,,,,Fnessian,,,,,,,
Fodro,,,,Planet,,,,,,,,,,,
Fodurant,,,,Planet,,,,,,,,,,,
Foerost,,,,Planet,,,,,,,,,,,
Fokask,,,,Planet,,,,,,,,,,,
Fondor,,Fondor,Tapani,Planet,Temperate,,,Human,,Fondor City,Colonies,,,,
Fondurant,,,,Planet,,,,,,,,,,,
Formos,,,,Planet,,,,,,,Outer Rim,,,,
Fornax,,,Glythe,Planet,,,,,,,,,,,
Fornow,,,,Planet,,,,,Epicanthrix,,,,,,
Forscan VI,4th,Forscan,Cron Drift,Planet,,,,,,,Outer Rim,,,,
Foundry,,,,Planet,,,,,Various,,,,,,
Framesk Yagen,4th,Bovo Yagen,,Planet,Barren rock,,,,,,,,,,
Freda,,Freda,,Planet,,,,,,,,,,,
Frego,,,,Planet,Temperate,,,Human,,Rian,,,,,
Freliq,,,,Planet,,,,,,,,,,,
Frellor,1st,Fre'ji,,Planet,Hot rock,,,,,,Core Worlds,,,,
Fremond III,,,,Planet,,,,,,,,,,,
Frenoris,4th,Fre'ji,,Planet,Frozen rock,,,,,,Core Worlds,,,,
Fresia,2nd,Fre'ji,,Planet,Ocean,528,132,Human,,,Core Worlds,,Breathable,Standard,"10,308 kilometers"
Fretaria,3rd,Fre'ji,,Planet,Frozen rock,,,,,,Core Worlds,,,,
Frewwil,,,,Planet,,,,,,,,,,,
Friijillis,,,Dail,Planet,,,,,,,,,,,
Frisal,,,,Planet,,,,,,,,,,,
Frithia,,,,Planet,Temperate,,,,Zabrak,,,,,,
Froswythe,,,,Planet,Grassy plains,,,,,,Colonies,,,,
Froz,,Froz,Corellian,Planet,Wastelands,,,Frozian,,,Colonies (Core Worlds?),,Poisonous,,
F'Tang,8th,N'zoth,Farlax,Planet,Frozen rock,,,,,,Core Worlds,,,,
F'tral,,F'la Ren,Calaron,Planet,Ocean,,,Iyra,,,,,,,
Fwatna,,,,Planet,,,,,,,,,,,
Fwiis,,,Calaron,Planet,,,,,,,,,,,
Fwillsving,,,Calaron?,Planet,,,,,,,,,,,
Fyodos,4th,Tatrang,,Planet,Varied,,,"Fyodoi, Galidyn",,,,,,,
