PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
Aaeton,,,,Planet,,,,Human,,,,,,,
Aaghra,1st,Zug,,Planet,Molten rock,,,,,,Core Worlds,,,,
Aagonar,,,,Planet,,,,,,,,,,,
Aar,,,,Planet,,,,Aar'aa,,,,,,,
Aargau,3rd,Zug,,Planet,Urban,24,364,Aargauun (Human),,New Escrow,Core Worlds,,Breathable,Standard,"12,928 kilometers"
Aargonar,,,,Planet,Desert,,,,,,,,,,
Aaris III,3rd,Aaris,Kathol,Planet,Tropical,19,299,Aaris,,,Outer Rim,,,,
Abanol,2nd,Beshqek,,Planet,Toxic rock,,,,,,Deep Core,,,,
Abatrarg,6th,Atrig,,Planet,Gas giant,,,None,None,,Outer Rim,,,,
Abbaji,,,,Planet,Rain forest,,,,,,,,,,
Ab'Bshingh,,,,Planet,,,,"Farang, Waroot",,,,,,,
Abhean,,,,Planet,,,,,,,,,,,
Abo Dreth,,Abo Dreth,Corporate,Planet,Temperate,,,,,,Outer Rim,,,,
Abonshee (Masterhome),,,,Planet,Temperate,,,Anointed People,,,,,,,
Abraxas,,Abraxas,,Planet,,,,,,,,,,,
Abraxin,,,Tion Cluster,Planet,Swamps,,,,,,,,,,
Abregado-Dai,1st,Abregado,,Planet,Molten rock,,,,,,Core Worlds,,,,
Abregado-Fus,4th,Abregado,,Planet,Gas giant,,,,,,Core Worlds,,,,
Abregado-Rae,3rd,Abregado,,Planet,Temperate,23,349,Gado,Human,,Core Worlds,,Breathable,Standard,"12,000 kilometers"
Abregado-San,2nd,Abregado,,Planet,Rocky wastes,,,,,,Core Worlds,,,,
Abregado-Taki,5th,Abregado,,Planet,Frozen rock,,,,,,Core Worlds,,,,
Abridon,,,,Planet,,,,,,,,,,,
Abrion Major,,Abrion,Abrion,Planet,,,,,,,,,,,
Absit,,,,Planet,,,,Yatir,,,,,,,
Acatal,2nd,Elrood,Elrood,Planet,Rocky Wastes,,,Human,,,Outer Rim,,,,
Achillea,,Achillea,Tapani,Planet,Forests,29,292,Human,,Cadriell,Colonies,,,,
Acilaris,1st,Cularin,,Planet,,9,112,,,,Mid Rim,,,,
Acorvus,3rd,Lazerian,,Planet,Desert,,,None,Human?,,,,,,
Adamastor,,,,Planet,Aquatic,,,Human,,,,,,,
Adari,,,,Planet,Mountains,,,Adarian,,,,,,,
Adarlon,,Adarlon,Minos Cluster,Planet,Temperate,21,381,Human,,Belrand,,,,,
Adega,,Adega,Moddell?,Planet,Outer Rim,,,,,,Outer Rim,,,,
Adim,,,,Planet,,,,,,,,,,,
Adin,,,,Planet,,,,,,,,,,,
Adinai,6th,Lianna,Allied Tion,Planet,Gas giant,,,None,,,Outer Rim,,,,
Adner,,,,Planet,,,,Adnerem,,,,,,,
Adriana,3rd,Tatoo,Arkanis,Planet,Gas giant,,,None,None,,Outer Rim,,,,
Aduba-1,1st,Aduba,,Planet,Searing rock,,,,,,Outer Rim,,,,
Aduba-2,2nd,Aduba,,Planet,Poisonous,,,,,,Outer Rim,,,,
Aduba-3,3rd,Aduba,,Planet,Arid,22,343,None,"Human, various",,Outer Rim,,Breathable,Standard,
Aduba-4,4th,Aduba,,Planet,Temperate,,,,,,Outer Rim,,,,
Aduba-5,5th,Aduba,,Planet,Gas giant,,,,,,Outer Rim,,,,
Aduba-6,6th,Aduba,,Planet,Ice,,,,,,Outer Rim,,,,
Adumar,2nd,Katorrs,,Planet,Temperate,23.8999996185303,350,Human (Adumari),,,Wild Space,,Breathable,1.01 times Standard,"13,028 kilometers"
