PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
Pa'aal,,,,Planet,,,,,,,,,,,
Pachi,3rd,Faarlsun,,Planet,Temperate,25,350,Tulvaree,Human,,,,,,
Paig,,,,Planet,,,,Human (Fallanassi),,,,,,,
Pako Ramoon,,,Grohl,Planet,,,,,,,,,,,
Pakrik Major,,,Kanchen,Planet,Urban,,,,,,,,,,
Pakrik Minor,,,Kanchen,Planet,Temperate,,,,,,,,,,
Pakuuni,,Pakuuni,,Planet,,,,Human?,,,,,,,
Palanhi,,Palanhi,,Planet,,,,,,,,,,,
Pallaxides,,,,Planet,Temperate,25,380,,"Human, various",,,,,,
Pammant (destroyed),,,,Planet,Urban,,,,Quarren,,,,,,
Panatha,,,,Planet,,,,Epicanthix,,,,,,,
Pantolomin,1st,Panto,,Planet,Ocean,24,349,Lomin,Human,,,,,,
Paonnid,,Obroa-Skai,,Planet,,,,Paonnid,,,Inner Rim,,,,
Paquallis III,,,,Planet,Urban,,,,,,,,,,
Paqwepori,,,,Planet,,,,Paqwe,,,,,,,
Paracelus Minos,,,,Planet,,,,,,,,,,,
Parada,,,,Planet,,,,,,,,,,,
Paramatan,,,,Planet,Forests,,,,,,,,,,
Parcelus Minor,,,,Planet,Swamp forests,,,,,,,,,,
Parein II 4,,,,Planet,Outer Rim,,,Human,,,,,,,
Parshoone,,,,Planet,,,,,,,,,,,
Partold,,,,Planet,,,,,,,,,,,
Pasmin,,,,Planet,,,,,,,,,,,
Pas'sic,,,,Planet,,,,Vrassh,,,,,,,
Patar,7th,Demar,Brak,Planet,Methane ice,,,,,,,,,,
Patch-4,,,,Planet,Shallow swamp,,,,,,,,,,
Pauc'on,3rd,Ralltiir,Darpa,Planet,Barren rock,,,,,,Core Worlds,,,,
Paulking XIV,14th,Paulking,Centrality,Planet,Aquatic,,,,Furfish,,Outer Rim,,,,
Pavia,,Pavia,Tapani,Planet,,,,,,,Colonies,,,,
Pavilion,,,,Planet,,,,,,,,,,,
Pavo Prime,,,,Planet,,,,,,,,,,,
PDC3141-02,,,,Planet,Barren,,,,,,,,,,
Pedducis Chorios,,Chorios,Meridian,Planet,,,,,,,Outer Rim,,,,
Peg Shar I,,,,Planet,Industrial,,,,,,,,,,
Pehzehvar (Doornik-628D),4th,Doornik-628,Farlax,Planet,Temperate,,,,,,Core Worlds,,,,
