PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
Ibanjii,,,,Planet,Harsh,,,Varn,Human,,,,,,
Ichium,8th,Axum,Azure (Sector Zero),Planet,Barren rock,,,,,,Core Worlds,,,,
Ichtor 8,8th,,,Planet,,,,,,,,,,,
Iego (Viago),1st,Iego,,Planet,Temperate wastelands,,,"Diathim (Angels), Maelibi (Demons)",,,Outer Rim,,Breathable,Standard,"2,730 kilometers"
Ieria,,Andaran,,Planet,Temperate,,,Human,,,,,,,
Ifron,,,,Planet,,,,,,,,,,,
Ignacia,5th,Kalinda,,Planet,Gas Giant,,,None,None,,,,,,
Ihopek,,,,Planet,,,,,,,,,,,
Ijol,4th,Tirahnn,Zeemacht Cluster,Planet,Gas giant,,,,,,,,,,
Iktotchan,,,,Planet,,,,None,,,Expansion Region,,,,
Ilimardon,,,,Planet,,,,,,,Mid Rim,,,,
Illarreen,,,,Planet,Temperate,,,Poss'Nomin,,,,,,,
Illodia,,Illodia,,Planet,Temperate,,,Human,,,,,,,
Ilum,,,,Planet,Frozen wastes,22,301,,,,,,,,
Imdaar Alpha,,,,Planet,Varied,,,,Mynock,,,,,,
Improcco,9th,Coruscant,Seswenna (Coruscant),Planet,Ice,,,,,,Core Worlds,,,,
Inat Prime,,,,Planet,,,,,,,,,,,
Indellian,,Indellian,Yarith,Planet,,,,,,,Outer Rim,,,,
Indikir,2nd,Bseto,,Planet,Rocky wastes,,,,,,Mid Rim,,,,
Indinor,5th,Lianna,Allied Tion,Planet,Temperate,,,,,,Outer Rim,,,,
Indobok,,B'rknaa,Kalarba,Planet,B'rknaa,,,B'rknaa,,,,,,,
Indoumodo,,,,Planet,,,,,,,,,,,
Indu San,,Indu San,,Planet,Varied,25,382,Human,,,Outer Rim,,,,
Indupar,,,Induparan Crown Worlds,Planet,,,,Human,,,,,,,
Ingo,,,,Planet,Salt plains,,,,Human,,,,,,
Inner Los,1st,Recopi,,Planet,Hot rock,,,,,,Core Worlds,,,,
Insta-7,,,,Planet,,,,,,,,,,,
Intran,,,Brak,Planet,,,,,,,,,,,
Intuci,,,,Planet,,,,,,,,,,,
Inwil,5th,Ralltiir,Darpa,Planet,Frozen rock,,,,,,Core Worlds,,,,
Inysh,,,,Planet,,,,Abinyshi,,,,,,,
Ione,,,Anoat,Planet,Urban,23,390,,Various,,Outer Rim,,Breathable,Standard,
Ios,4th,Feriae,Sumitra?,Planet,Gas giant,,,,,,Outer Rim,,,,
Iotra,5th,Iotran,,Planet,Temperate,,,Iotran,,,,,,,
Iphigin,,,,Planet,Temperate,,,Iphigini,Human,,,,,,
Iqobal,4th,Polith,,Planet,Gas giant,,,,,,,,,,
Iqoon,3rd,Roon,,Planet,Barren rock,,,,,,Outer Rim,,,,
Iri,,Epidimi,,Planet,Rainforest,,,Tarong,,,,,,,
Iridium,,,,Planet,,,,Human,,,,,,,
Iridonia,,,,Planet,"Harsh canyons, acid seas",,,Zabrak,,,Mid Rim,,,,
Irith,,,,Planet,,,,Human?,,,,,,,
Iscera,,,,Planet,,,,,,,,,,,
Isde Naha,,,Yarith,Planet,Urban,,,,,,Outer Rim,,,,
Isen,1st,Isen,,Planet,Gas giant,,,,,,,,,,
Iseno,,,,Planet,,,,,,,Inner Rim,,,,
Ishanna I,1st,Ishanna,,Planet,Searing rock,,,None,None,,,,,,
Ishanna II,2nd,Ishanna,,Planet,Hot,,,None,None,,,,,,
Ishanna V,5th,Ishanna,,Planet,Frozen wastes,,,None,None,,,,,,
Isht,,,,Planet,,,,Ishori,,,,,,,
Isis,,,Anoat,Planet,Crystalline plains,24,400,Gutretee,Human,Neskroff,Outer Rim,,Breathable,Standard,
Iskadrell,,Iskallon,,Planet,,,,Iskalloni,,,,,,,
Iskalon,,Iskalon,,Planet,Ocean,,,Iskalonian,,Pavillion,,,,,
Issarga,,,,Planet,,,,,,,,,,,
Issor,,Trulalis,,Planet,Ocean,,,"Issori, Odenji",,,Outer Rim,,,,
Istic II,2nd,Istic,,Planet,Irradiated,,,,,,,,,,
Ithona,5th,Essesia,Darpa,Planet,Gas giant,,,,,,Core Worlds,,,,
Ithoon,6th,Centares,,Planet,Barren rock,,,,,,Mid Rim,,,,
Ithor,4th,Ottega,Ottega,Planet,Semi-tropical,,,Ithorian,"Manollium, Arrak Snake",,Mid Rim,,,,
Ithull,,Stenness,,Planet,,,875,Ithullan,Colossus Wasp,,,,,,
Ivatch,,Ivatch,Kathol,Planet,,,,,,,Outer Rim,,,,
Ixtlar,,,Corporate,Planet,,,,,,,Tingel Arm,,,,
Iychtor,5th,Velus,,Planet,Frozen rock,,,,,,Core Worlds,,,,
Iyred,,,,Planet,Tropical forests,,,,,,,,,,
Iyuta,,,,Planet,,,,,,,,,,,
