PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
Raamen,,,,Planet,,,,,,,,,,,
Rabaan,4th,Ishanna,,Planet,Temperate,27,375,,Human,,,,,,
Rachuk,,Rachuk,Rachuk,Planet,,,,,,,,,,,
Radix,,Abraxas,,Planet,Industrial scrapheap,,,,,,,,,,
Radnor,,,,Planet,,,,Radnoran,,Temperate,,,,,
Rafa III,3rd,Rafa,Centrality,Planet,Barren,,,,,,Outer Rim,,,,
Rafa IV,4th,Rafa,Centrality,Planet,Temperate,,,Sharu/Toka,Human,,Outer Rim,,,,
Rafa V,5th,Rafa,Centrality,Planet,Cold Desert,,,Sharu/Toka,,,Outer Rim,,,,
Rafa XI,11th,Rafa,Centrality,Planet,Frozen wastes,,,,Human,,Outer Rim,,,,
Rafft,,,,Planet,Forest,,,,,,,,,,
Ragna III,3rd,Ragna,,Planet,Forest,,,Yuzzem,,,Mid Rim,,,,
Ragnar VIII,8th,Ragnar,Merel,Planet,,,,,,,,,,,
Ragoon-6 (Ragoon VI),6th,Ragoon,,Planet,Rugged mountains,,,Ragoon,,,,,,,
Raisa,1st,Alderaan,,Planet,Hot rock,,,,,,Core Worlds,,,,
Raithal,,,,Planet,,,,Human?,,,,,,,
Rakaa IV,4th,Rakaa,,Planet,Jungle,,,Rakaan,,,Core,,,,
Rake,1st,Prakith,,Planet,Barren rock,,,,,,Deep Core,,,,
Rakrir,,,,Planet,,,,Rakririan,,,,,,,
R'alla,,,,Planet,Water?,,,,,,,,,,
Ralltiir,2nd,Ralltiiri,Darpa,Planet,Temperate,19,255,Human,,Cambrielle,Core Worlds,,Breathable,Standard,"13,449 kilometers"
Ralme IV,4th,Ralme,Brak,Planet,,,,,,,,,,,
Rampa I,,,Corporate,Planet,,,,Human?,,,Tingel Arm,,,,
Rampa II,,,Corporate,Planet,Toxic,,,Human,,,Tingel Arm,,,,
Randa,,,,Planet,Forest,,,,,,,,,,
Randon,,,,Planet,,,,Randoni (Human?),,,,,,,
Randorn 2,,,,Planet,Swamps,,,Mizx,,,,,,,
Rangorah,,,,Planet,,,,,,,,,,,
Rannon,3rd,Rannon,,Planet,"Forest, mountains",20,380,None,"Human, Rodian",,,,,,
Ranste,1st,New Plympto,Corellian,Planet,Hot rock,,,,,,Core Worlds,,,,
Rasapan,6th,Kuat,,Planet,Gas giant,,,,,,Core Worlds,,,,
Raskane IV,,,,Planet,,,,,,,,,,,
Rasterous,,,,Planet,,,,,,,,,,,
Rathalay,,,,Planet,Temperate,,,,,,,,,,
Rattatak,,,,Planet,Rocky wastes,,,Rattataki,,,Outer Rim,,Breathable,,
Ravaath,,,Pacanth Reach,Planet,,,,,Epicanthix,,,,,,
Raxus II,2nd,Raxus,,Planet,Frozen wastes,,,,,,Outer Rim,,,,
Raxus Prime,1st,Raxus,,Planet,Toxic junkyard,22,388,None,"Human, Jawa",,Outer Rim,,,,
Raxxa,,,,Planet,,,,Human?,,,,,,,
Reaper's World,,,Nilgaard,Planet,Temperate,28,382,,"Human, various",,Outer Rim,,,,
Rearqu 10,10th,Rearqu,,Planet,,,,,,,Mid Rim,,,,
Reboam,,,Hapes Cluster,Planet,Harsh,,,Human,,,Inner Rim,,,,
Recopia,4th,Recopi,,Planet,Acid oceans,20,286,Human,"Duros, Bothan",Scapio,Core Worlds,,Breathable,Standard,"14,463 kilometers"
Redcap,,,,Planet,"Rocky, muddy plains",16,212,Human,,,,,,,
Reecee,,,The Colonies,Planet,,,,,,,Inner Rim,,,,
Reega,,Reegan,,Planet,,,,,,,,,,,
Reena,,Reena,Tapani,Planet,Temperate,25,360,Human,,,Colonies,,,,
Refgar,,,,Planet,,,,Human,,,,,,,
Refnar,,,,Planet,,,,,,,,,,,
Regar I,5th,Garos,,Planet,,,,,,,,,,,
Regar II,6th,Garos,,Planet,,,,,,,,,,,
