PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
Ealor,,Bysis,Parmic,Planet,Temperate,,,,,,,,,,
Ebaq,5th,Treskov,,Planet,Gas giant,,,,,,Deep Core,,,,
Ebiwaan,,,,Planet,,,,Human,,,,,,,
Ebra,2nd,Dousc,,Planet,Mountains,,,Ebranite,,,Mid Rim,,,,
Ec Pand,,Ec Pand,Induparan Crown Worlds,Planet,,,,Human,,,,,,,
Eckless,,,,Planet,,,,Human,,,,,,,
Eclipse,,,,Planet,Temperate,,,,Various,,Deep Core,,,,
Eczar,,,,Planet,,,,,,,,,,,
Edan II,2nd,Edan,,Planet,Temperate,,,Human?,,,,,,,
Edatha,,,,Planet,,,,,,,,,,,
Ediorung,,,,Planet,,,,,Icefish,,,,,,
Edonaaris,,,,Planet,"Swamps, jungle",,,,,,,,,,
Eedoq,,,,Planet,,,,,,,,,,,
Eeropha,,,,Planet,,,,,,,Core Worlds,,,,
Eeyyon,,,,Planet,,,,,,,,,,,
Ehjenla,,Ehjenla,Kathol,Planet,Temperate,,,Tuhgri,,,Outer Rim,,,,
Eiattu 6,6th,Eiattu,,Planet,Jungle,,,Human,,,,,,,
Eirrauus,,,,Planet,Temperate plains,,,Eirrauc,,,,,,,
Eislo,,,,Planet,,,,,,,,,,,
Eislomi III,3rd,Eislomi,Eislomi,Planet,,,,,,,,,,,
Ekibo,,,Corporate,Planet,,,,,Trianii,,Tingel Arm,,,,
Elbara Nine,9th,Elbara,,Planet,Frozen wastes,,,,,,Mid Rim,,,,
Elcorth,,Koornacht Cluster,Farlax,Planet,,,,"Morath, Andalese",,,Core Worlds,,,,
Elerion,,,,Planet,Humid jungles,,,Human,,,Outer Rim,,,,
Eliad,,Eliad,Minos Cluster,Planet,Temperate,21,381,,Human,,,,,,
Elin Roe,,Elin Roe,,Planet,,,,,,,,,,,
Eloggi,2nd,Endor,Moddell,Planet,Frozen rock,,,,,,Outer Rim,,,,
Elokas,,Sabrixin,Samix,Planet,Temperate,,,,,,,,,,
Elom,,,,Planet,Frigid desert,26,406,"Elomin, Elom",,,Borderlands? Outer Rim?,,,,
Elpur,1st,Ropagi,Mieru'kar,Planet,Searing rock,,,None,None,,,,,,
Elrood,3rd,Elrood,Elrood,Planet,Temperate,28,364,Human,,Elrooden,Metharian Nebula Region,,Breathable,Standard,
Elshandruu Pica,,,Quence,Planet,,26,,Human?,,,,,,,
Embaril,,,Allied Tion,Planet,Temperate,,,,,,Outer Rim,,,,
Ember,1st,Belgaroth,,Planet,Searing rock,,,,,,Core Worlds,,,,
Emberlene,,,,Planet,Toxic,,,Human,,,,,,,
Emet,1st,Genesia,Brak,Planet,Barren rock,,,,,,,,,,
Emmer,1st,Emmer,Nilgaard,Planet,Urban,36,465,Emmerian,"Herglic, Ugor",,Outer Rim,,,,
Empress Teta (Koros Major),4th,Empress Teta (Koros),,Planet,Urban,23.5,359,Human,,Cinnagar,Deep Core,,Breathable,Standard,"15,700 kilometers"
Emra,5th,Demar,Brak,Planet,Gas giant,,,,,,,,,,
Enaleh,,,,Planet,Tropical,,,,,,,,,,
Enarc,,Enarc,,Planet,,,,,,,,,,,
Enarc (destroyed),4th,Demophon,,Planet,,,,,,,,,,,
Endex,,,,Planet,Rocky canyons,,,Entymal,,,,,,,
Endor,1st,Endor,Moddell,Planet,Gas giant,,,None,None,,Outer Rim,,,,
Endoraan,,,,Planet,,,,,,,,,,,
Endovan,,,,Planet,,,,,,,,,,,
Endregaad,,Joxin,Corporate,Planet,Arid,,,None,Various,Tel Bollin,Tion Cluster,,,,
Enet,,,Brak,Planet,,,,,,,,,,,
Engebo V,5th,Engebo,,Planet,Grasslands,,,None,Human,,Outer Rim,,,,
Engira,,,,Planet,,,,Human?,,,,,,,
Enkep,1st,Katorrs,,Planet,Molten rock,,,,,,Wild Space,,,,
Ennth,,,,Planet,,,,Human?,,,,,,,
Entralla,,Entralla,,Planet,,,,,,,,,,,
Entrus,,,Trax,Planet,Ocean,,,,Various,,,,,,
Entuur,,,,Planet,,,,Human,,,,,,,
Eol Sha,,,,Planet,Volcanic,19,326,,"Fireworm, Bugdillo, Human",,,,,,
Eos,,,,Planet,Volcanic,,,,,,,,,,
Ephemera,,,,Planet,,,,,,,,,,,
Epsi Nadir,,,,Planet,,,,,,,,,,,
Equanus,,Nharl,,Planet,Barren,,,Equani,,,,,,,
Erai,,,,Planet,,,,,,,,,,,
Eredenn (Eredeen),4th,Erediss,,Planet,Frozen wastes,,,,,,,,,,
Eredin,,,Astal,Planet,,,,,,,,,,,
Erep,2nd,Naboo,Chommell,Planet,Searing rock,,,None,None,,Mid Rim,,,,
Ergeshui,1st,Agash,,Planet,Swamp,40,380,Ergesh,Human,Erglush,,,,,
Ergo,,,,Planet,,,,,,,,,,,
Eriadu,,Eriadu,Sesswenna,Planet,Temperate,,,Human,,,Outer Rim,,,,
Erigorm,,,,Planet,,,,Human,,,,,,,
Erilnar,,Erilnar,Centrality,Planet,,,,,,,Outer Rim,,,,
Eriscot,,,,Planet,Aquatic,,,Iskalonian (Nejma),,,,,,,
Er'Kit,,,,Planet,,,,Er'Kit,,,Outer Rim,,,,
Er'stacia,,,,Planet,Temperate,,,Er'stacian,,,Outer Rim,,,,
Ertegas,,,Anoat,Planet,Temperate plains,,,,Human,,Outer Rim,,,,
Erysthes,,,Corporate,Planet,Temperate plains,,,Human,,,Tingel Arm,,,,
Escabar,,,,Planet,,,,,,,,,,,
Esfandia,,,,Planet,Liquid atmosphere,,,Brrbrlpp,,,,,,,
Esooma,,,,Planet,,,,Esoomian,,,,,,,
Esseles,3rd,Essesia,Darpa,Planet,Urban,22,405,Human,,Calamar,Core Worlds,,Breathable,Standard,"14,783 kilometers"
Ession,4th,Lucaya,Corporate,Planet,,,,,Human,,Tingel Arm,,,,
Essowyn,1st,Saurton,Trax,Planet,Barren plains,39,401,Saurton,"Human, Verpine, Sullustan",Hilissa,,,Breathable,Standard,
Estaph,,Estaph,Tapani,Planet,,,,,,,Colonies,,,,
Etti IV,4th,Etti,Corporate,Planet,Temperate,,,None,"Etti, Human",,Tingel Arm,,,,
Euceron,,,,Planet,,,,Euceron,,Eucebus (Euceron City),,,,,
Evas VI,6th,Evas,,Planet,,,,Pliith,,,,,,,
Exarga (Excarga),,,,Planet,Temperate,,,Human,,,Outer Rim,,,,
Exocron,,,,Planet,Temperate,26,388,Exodeenian,Human,Caballa City,,,Breathable,Standard,
Exodeen,2nd,Exodo,Meridian,Planet,Lava plains,,,,,,Outer Rim,,,,
Exodo II,,,Kathol,Planet,Temperate,,,,Human,,Outer Rim,,,,
Expora,1st,Chandrila,Bormea,Planet,Searing rock,,,,,,Core Worlds,,,,
Eyttyrmin,,,Khuiumin,Planet,,,,,,,,,,,
