PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
Zaadja,,,,Planet,Frigid wastes,,,,Geonosian,,Outer Rim,,,,
Zaddja,,,Trilon,Planet,Barren wastes,,,,,,,,,,
Zaloriis,,,,Planet,Barren desert,,,Zaloriian,Human,Zaloriis City,,,,,
Zalso,,,Jendar,Planet,Temperate,,,Human,,,,,,,
Zaraksander,,,,Planet,,,,,,,,,,,
Zarsteck,,,,Planet,,,,,,,,,,,
Zauhu,5th,Zug,,Planet,Methane ocean,,,,,,Core Worlds,,,,
Zaur,2nd,Zug,,Planet,Molten rock,,,,,,Core Worlds,,,,
Zebitrope IV,4th,Zebitrope,Dufilvian,Planet,,,,,,,Centrality,,,,
Zeffliffl,,Markbee?,,Planet,,,,Zeffliffl,,,,,,,
ZeHeth,,,,Planet,Varied,,,ZeHethbra,,,Mid Rim,,,,
Zekulae,,,,Planet,,,,Zeku,,,,,,,
Zelakesh,,,,Planet,,,,,,,,,,,
Zeldiis,2nd,Zel,,Planet,Barren rock,,,,,,Outer Rim,,,,
Zellone,5th,Zel,,Planet,Gas giant,,,,,,Outer Rim,,,,
Zelmaadine,1st,Velm,,Planet,Volcanic wastelands,,,,,,Mid Rim,,,,
Zeloa,1st,Zel,,Planet,Gas giant,,,,,,Outer Rim,,,,
Zeloc,5th,Velm,,Planet,Gas giant,,,,,,Mid Rim,,,,
Zelos,,,,Planet,,,,Aga,,,,,,,
Zelos II,2nd,Zelos,,Planet,Varied,20,300,Zelosian,,Kryndyn,,,,,
Zeltros,3rd,Zel,,Planet,Temperate,25,312,Zeltron,,,Outer Rim,,Breathable,0.92 standard,"11,397 kilometers"
Zelvahn,4th,Zel,,Planet,Frozen desert,,,,,,Outer Rim,,,,
Zenobah (destroyed),2nd,Demophon,,Planet,,,,,,,,,,,
Zerm,,,,Planet,Varied,,,,,,,,,,
Zeta Zero Nine,,,The Wastes,Planet,Frigid aquatic,25,409,None?,,,,,,,
Z'fell,,Koornacht Cluster,Farlax,Planet,,,,Yevetha,,,Core Worlds,,,,
Zham Hlar,3rd,Thaere,,Planet,,,,,,,,,,,
Zhann,,,,Planet,,,,,,,,,,,
Zhanox,,,Anoat,Planet,Rocky spires,,,,"Human, Ugnaught",,Outer Rim,,,,
Zhar,,Zhar,Cadavine,Planet,Gas giant,,,None,None,,Outer Rim,,,,
Zhina,,Koornacht Cluster,Farlax,Planet,,,,,,,Core Worlds,,,,
Zhotta 3,3rd,Zhotta,,Planet,,,,,,,,,,,
Zilior,,Uziel,,Planet,,,,Human,,,,,,,
Ziost,,,,Planet,,,,,"Human, Sith",,Outer Rim,,,,
Zirku,1st,Riflorii,,Planet,Molten Rock,,,,,,Mid Rim,,,,
Zirulast,,,,Planet,Arid,,,Temolak,,,Expansion,,,,
Zolan,,,,Planet,,,,"Zolander, Clawdite",,,Mid Rim,,,,
Zonama Sekot (Sekot),1st (mobile),,Gardaji Rift,Planet,Dense forest,,,None,"Ferroan, Human",,Outer Rim,,,,
Zonju V,5th,Zonju,,Planet,Rocky wastes,,,,,,,,,,
Zoraster,,,,Planet,,,,Human,,,,,,,
Zorbia I,1st,Zorbia,Moddell,Planet,,,,,,,Outer Rim,,,,
Zorbia II,2nd,Zorbia,Moddell,Planet,Varied,28,360,Human,,,Outer Rim,,Breathable,1.05 times Standard,
Zorbia III,3rd,Zorbia,Moddell,Planet,,,,,,,Outer Rim,,,,
Z'trop,,,,Planet,Semi-tropical,,,,,,,,,,
Zuliria,,,,Planet,,,,,,,,,,,
Zygeria,,,Chorlian,Planet,,,,Zygerian,,,Outer Rim,,,,
