PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
Haariden,,,,Planet,,,,,,,,,,,
Habassa II,,,,Planet,,,,Habassa,,,,,,,
Had Abbadon,,,,Planet,,,,,,,,,,,
Hadlress,,,,Planet,,,,,,,,,,,
Haffrin,,,,Planet,,,,,,,Outer Rim,,,,
Hakassi,,,,Planet,,,,,,,,,,,
Halbara,,Halbara,Elrood,Planet,Tropical,,,Human,,Halbara One,Outer Rim,,,,
Haldeen,,,Haldeen,Planet,,,,,,,,,,,
Hali,,,,Planet,Temperate,,,Human,,,,,,,
Hallrin IV,4th,Hallrin,,Planet,,,,,,,,,,,
Halmad,,Halmad,,Planet,Temperate,,,Human,,Hullis,,,,,
Halowan,,,Fakir?,Planet,,,,Human?,,,,,,,
Halpat,,,,Planet,,,,,,,,,,,
Hanchin,,,Moddell,Planet,Gas giant,,,,,,Outer Rim,,,,
Handooine,,Handooine,,Planet,,,,,,Jelwick,,,,,
Hanofar,,,,Planet,,,,Human,,,,,,,
Hapes,1st,Hapan,Hapes Cluster,Planet,Temperate,22,240,Human,,,Inner Rim,,Breathable,Standard,"12,254 kilometers"
Hapuntep,,,,Planet,,,,,,,,,,,
Harbin-re,,,,Planet,,,,,,,,,,,
Hargeeva,3rd,Pelonat,,Planet,Temperate,23,380,,Human,,,,,,
Harix,,,,Planet,Temperate,,,Human,,,,,,,
Harloen,,,,Planet,,,,,,,Outer Rim,,,,
Harpori,,,,Planet,,,,,Duros,,Mid Rim,,,,
Harrandarr,,,,Planet,,,,"Buzchub, Und'l",,,Outer Rim,,,,
Harrin,,Harrin,Harrin,Planet,,,,,,,,,,,
Haruun Kal (Al'Har I),1st,Al'Har,,Planet,"Toxic oceans, mountain plateaus",25.5,383,Human (Korunnai),,Pelek Baw,Mid Rim,,Toxic layer,0.98 standard,"10,120 kilometers"
Hast,,,,Planet,,,,,,,,,,,
Hathrox III,,,,Planet,Plague-ridden,,,None,None,,,,,,
Haven,,,Minos Cluster,Planet,,,,,,,,,,,
Haverling,,,,Planet,,,,,,,,,,,
Havricus,,,,Planet,,,,,,,Colonies,,,,
Hazzard,,,,Planet,,,,Human,,,,,,,
Hebeth,3rd,Beheboth,,Planet,Molten rock,,,,,,Outer Rim,,,,
Heffrin,,,,Planet,,,,,Human,,Outer Rim,,,,
Hefi,,,,Planet,,,,,,,,,,,
Helisk,,Sabrixin,Samix,Planet,Temperate,,,,,,,,,,
Hellios,,Hellios,Tapani,Planet,,,,,,,Colonies,,,,
Heloan Yagen,5th,Bovo Yagen,,Planet,Gas giant,,,,,,,,,,
Helska (Helska 4),4th,Helska,,Planet,Ice plains,,,,,,Outer Rim,,,,
Hemei IV,,,,Planet,,,,,,,,,,,
Hensara III,3rd,Hensara,Rachuk,Planet,Jungle,,,,,,,,,,
Herdessa,,,,Planet,,,,,,,,,,,
Herios IV,4th,,,Planet,,,,,,,,,,,
Heriston,,,,Planet,,,,,,,,,,,
Hern,1st,Rhinnal,Darpa,Planet,Molten rock,,,,,,Core Worlds,,,,
Herstell V,5th,Herstell,,Planet,,,,,,,,,,,
Herzob,,,,Planet,Temperate,,,,,,Colonies,,,,
Hethar,,,,Planet,,,,,,,,,,,
Hettsk,,,,Planet,Jungle,,,Human?,,,,,,,
Hewl,,,,Planet,,,,,,,,,,,
Hiffis,,,,Planet,,,,,,,,,,,
High Chunah,,,Javin,Planet,Urban,,,Mugaari,Various,,Outer Rim,,,,
Hijarna,,,,Planet,Barren,22,363,None,,,,,,,
Hilo,,,,Planet,,,,,,,,,,,
Hino-111,,,,Planet,,,,,,,,,,,
Hintivan II,2nd,,,Planet,Frigid forests,,,,,,,,,,
Hirsi,,,,Planet,Aquatic,,,Qwohog,,,,,,,
Hishyim,,,,Planet,,,,,,,,,,,
Hjaff,,,,Planet,Arid,,552,Tarc,,,,,,,
H'ken,,H'ken,Corva,Planet,,,,,,,Outer Rim,,,,
H'nemthe,,,Mayagil?,Planet,Forest,,,H'nemthean,,,Outer Rim,,,,
Hockaleg,,Patriim,,Planet,,,,,,,,,,,
Hok,,,,Planet,,,,,Gran,,Colonies,,,,
Hollast VII,7th,Hollastin,,Planet,Temperate,,,Human,,,,,,,
Hologram Fun World,,,,Planet,,,,,,,,,,,
Homon,,,,Planet,,,,,,,,,,,
Honoghr,4th,Honoghr,,Planet,Desolate plains,23,352,Noghri,,Nystao,Outer Rim,,,,
Hoppawui,6th,Both,,Planet,Barren,,,,,,Mid Rim,,,,
Hordon Cal,1st,Thanta Zilbra,,Planet,Searing rock,,,,,,,,,,
Horn Station,,,,Planet,Arid,,,,,,,,,,
Horob,,,,Planet,,,,,,,,,,,
Horska,,,,Planet,,,,,,,,,,,
Horticar,5th,Utos,Farlax,Planet,Gas giant,,,,,,Core Worlds,,,,
Hosrel XI,11th,Hosrel,Centrality,Planet,Barren rock,,,,,,Outer Rim,,,,
Hoth,6th,Hoth,Anoat,Planet,Frozen wastes,23,549,,Various,,Outer Rim,,Breathable,1.1 times Standard,"12,875 kilometers"
Houche,,,,Planet,,,,,,,Wild Space,,,,
Houll,7th,Beshqek,,Planet,Frozen rock,,,,,,Deep Core,,,,
Hoylin,,,,Planet,,,,Human,,,,,,,
H'ratth,,,,Planet,,,,,,,,,,,
Huip,1st,Beheboth,,Planet,Barren,,,,,,Outer Rim,,None,,
Hultomo,2nd,Garnib,,Planet,Snowy tundra,,,,,,,,,,
Humbarine,,,Humbarine,Planet,Barren wastes,,,,,,,,,,
Hurcha,8th,Churba,Churba,Planet,Frozen wastes,,,None,None,,Mid Rim,,,,
Hurd's Moon,,,,Planet,Arid,,,None,Various,,,,,,
Hurikane,,,,Planet,Rocky wastes,,,,,,Outer Rim,,,,
Hutlar,,,Senex,Planet,,,,Hutlarian,,,Mid Rim,,,,
Hyabb,,,,Planet,,,,,,,,,,,
Hyder,,,,Planet,,,,Human,,,,,,,
Hypori,,,,Planet,"Temperate, rocky plains",,,,,,Outer Rim,,,,
Hypotria,,Lifh,,Planet,Temperate,,,Human,,,,,,,
Hyrol Preen Beta,,,Portmoak,Planet,,,,,,,,,,,
Hythrope IV,,,,Planet,Temperate,,,Human,,,,,,,
