PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
Kaal,,,Yushan,Planet,Ocean,36,210,Various,,,Mid Rim,,,,
Kabaira,,Teilcam,,Planet,Ocean,23,341,None,Human,Eponte,Outer Rim,,,,
Kabal,,,Mayagil?,Planet,Temperate,,,Human,,Shoribus,Outer Rim,,,,
Kabieroun,,,,Planet,,,,Kabieroun,,,,,,,
Kadok III-A,1st,Tertiary Kadok,Kadok Regions,Planet,Searing rock,,,,,,,,,,
Kadok III-B,2nd,Tertiary Kadok,Kadok Regions,Planet,Searing rock,,,,,,,,,,
Kadok III-C,3rd,Tertiary Kadok,Kadok Regions,Planet,Barren rock,,,,,,,,,,
Kadok III-E,5th,Tertiary Kadok,Kadok Regions,Planet,Gas Giant,,,,,,,,,,
Kadril,,,,Planet,,,,Kadrillian,,,,,,,
Kaellin III,,Malenstorr,,Planet,,,,Human,,,,,,,
Kaer,,Siskeen,,Planet,Gas giant,,,,,,Outer Rim,,,,
Kagstag,,,Airon,Planet,,,,,,,,,,,
Kaikielius,,Kaikielius,,Planet,,,,,,,Core Worlds,,,,
Kail,,,Corporate,Planet,Temperate,,,Human,,,Tingel Arm,,,,
Kailor V,,,,Planet,Temperate,,,Human?,Sedrian,,,,,,
Kalaan,,,,Planet,Temperate,,,Human,,,,,,,
Kalab,,,,Planet,,,,,,,,,,,
Kalandis IV,4th,,Pallis,Planet,,,,Human,,,,,,,
Kalarba,,Kalarba,,Planet,Temperate,,,Human,Vynock,Kalarba City,Mid Rim,,,,
Kalee,,,,Planet,,,,Kaleesh,,,,,,,
Kalgo 13,,,,Planet,,,,Human,,,,,,,
Kalis,3rd,Derilyn,Elrood,Planet,Jungle,,,,,,Outer Rim,,,,
Kaliska,,,,Planet,,,,,,,Mid Rim,,,,
Kalist VI,,,,Planet,,,,,,,,,,,
Kalkovak,,,,Planet,Temperate Jungles,,,,,,Wild Space,,,,
Kalla,,,Corporate,Planet,Temperate,,,Human,,,Tingel Arm,,,,
Kalla VII,,,,Planet,,,,,,,,,,,
Kallistas,,Revkinn,Parmel,Planet,Desert,22,342,,Human,Trevalis,,,,,
Kalok (Jiroch-Kalok),4th,Jiroch,,Planet,,,,Tunroth,Duros,,,,,,
Kaloo,1st,Roon,,Planet,Searing rock,,,,,,Outer Rim,,,,
Kal'Shebbol,,,Kathol,Planet,,,,Human,,,Outer Rim,,,,
Kalsunor,,,,Planet,,,,,,,,,,,
Kalzeron,,,,Planet,Varied,,,Kalzerian,,,,,,,
Kamar,,,,Planet,Desert,,,Kamarian,Howlrunner,,,,,,
Kamino,,Kamino,Wild Space,Planet,Ocean,,,Kaminoan,,Tipoca City,Outer Rim,,,,
Kammia,,Drynn,,Planet,,,,,,,,,,,
Kamori,,,,Planet,Temperate,,,Human,,,,,,,
Kamparas,,,,Planet,,,,Human?,,,,,,,
Kamper,,Kamper,Tapani,Planet,,,,,,,Colonies,,,,
Kamsul,,Stenness,,Planet,,,,,,,,,,,
Kamur,,,,Planet,Volcanic,,,,,,,,,,
Kaon,,,,Planet,,,,,,,,,,,
Karatha,,,,Planet,,,,,,,,,,,
Karazak,,Karazak,Sujimis,Planet,Rocky wastes,,,,,,,,,,
Karedda,3rd,Kessel,Kessel,Planet,Frozen wastes,,,,,,Outer Rim,,,,
Karfeddion,,,Senex,Planet,,,,Human,,,Outer Rim,,,,
