PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
Caamas,2nd,Cirius,,Planet,Wasteland,25,375,Caamasi,"Ithorian, various",,Core Worlds,,Toxic,Standard,"15,540 kilometers"
Caamor,3rd,Cirius,,Planet,Frozen rock,,,,,,Core Worlds,,,,
Caaraz,,,,Planet,Tide-locked,,,Ranth,,,Outer Rim,,,,
Caarimon,,,,Planet,,,,Caarite,,,Outer Rim,,Humid,,
Cadezia,,Trulalis,,Planet,,,,,,,Outer Rim,,,,
Cadinth,,,Allied Tion,Planet,Desert,,,,,Saskapeg,Outer Rim,,,,
Cadomai (Cadomai Prime),,,Catarlo,Planet,Frozen wastes,,,Snivvian,,,Outer Rim,,,,
Calabosh-2,2nd,,,Planet,,,,,,,Outer Rim,,,,
Calamari (Mon Calamari),,Calamari,,Planet,Ocean,21,398,"Mon Calamari, Quarren",Mermen,,Outer Rim,,,,
Calfa-5,5th,,,Planet,,,,,,,,,,,
Calipp,5th,Faarlsun,,Planet,Gas Giant,,,None,None,,,,,,
Calipsa,,Calipsa,Tapani,Planet,Temperate,22,408,Human,,Cambar,Colonies,,,,
Calline I,1st,Calline,,Planet,Searing rock,,,,,,,,,,
Calline II,2nd,Calline,,Planet,Tidelocked,,,,,,,,,,
Calline III,3rd,Calline,,Planet,Gas Giant,,,,,,,,,,
Callonia,,,,Planet,,,,,,,,,,,
Calonica,,,,Planet,,,,Human?,,,,,,,
Caloria,,Caloria,Tapani,Planet,,,,,,,Colonies,,,,
Cal-Seti,,,,Planet,,,,,,,,,,,
Caltinia,,,,Planet,,,,,,,,,,,
Calus,,Calus,,Planet,,,,,,,,,,,
Caluula,,,Tion Hegemony,Planet,Rugged mountains,,,Human,Various,Caluula City,Outer Rim,,,,
Camden,,Camden,,Planet,Temperate,,,,,,Outer Rim,,,,
Camos,6th,Utos,Farlax,Planet,Gas giant,,,,,,Core Worlds,,,,
Canastra IV,4th,Canastra,,Planet,Oceanic,,,,,,Core Worlds,,,,
Canoliss IV,4th,Canoliss,,Planet,,,,Cannolites,,,,,,,
Canti,,Canti,Tapani,Planet,,,,,,,Colonies,,,,
Cantras Gola,,,,Planet,,,,Human,,,,,,,
Cantros Seven,7th,Cantros,,Planet,,,,,,,,,,,
Canyon,,,,Planet,Varied,28,389,,Various,,,,,,
Caprioril,,,,Planet,,,,Human,,,Core Worlds,,,,
Capza,,,Velcar Free Commerce Zone,Planet,,,,Human,,,,,,,
Caramm V,5th,Caramm,,Planet,,,,,,,,,,,
Cardooine,,,,Planet,,,,,,,,,,,
