PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
T-4,4th,Thaereian,,Planet,,,,,,,,,,,
Taanab,,Taanab,Farfin,Planet,Temperate,,,Human,,Pandath,Inner Rim,,,,
Taboon,,Aweris,Stenness,Planet,Gas giant,46,512,None,None,,Colonies,,,,
Taboth,2nd,Both,,Planet,Barren wastes,,,,,,Mid Rim,,,,
Tahlboor,,,,Planet,Temperate,,,"Hobor, Troob",Human,,,,,,
Takornan,4th,Derilyn,Elrood,Planet,Jungle,,,,,,Outer Rim,,,,
Tala 9,,,,Planet,Industrial,,,,,,,,,,
Talas,,Kamdon,,Planet,Barren rock,,,,,,,,,,
Talasea,4th,Morobe,,Planet,"Cool, moist",,,,Human,,Colonies,,,,
Talay,,,,Planet,,,,,,,,,,,
Talesia,,,,Planet,,,,,,,,,,,
Talfaglio,,Talfaglio,Corellian,Planet,,,,,,,Core Worlds,,,,
Tallaan,,Tallaan,Tapani,Planet,Temperate,22,355,Human,,,Colonies,,,,
Tallaso,,,,Planet,,,,,,,,,,,
Tallek,,,,Planet,,,,Human?,,,,,,,
Talleles,6th,Essesia,Darpa,Planet,Gas giant,,,,,,Core Worlds,,,,
Talofan,,,Bajic,Planet,,,,,,,,,,,
Taloraan,,Kelavine,,Planet,Gas giant,12,219,None,Denfrandi,,Expansion,,,,
Talravin,,,,Planet,Temperate,,,Human,,,,,,,
Talus,3rd,Corellian,Corellian,Planet,Temperate,24,392,Human,"Drall, Selonian",,Core Worlds,,Breathable,Standard,"9,950 kilometers"
Tamazall,,,,Planet,,,,,,Tamazall,,,,,
Tamban,,,,Planet,,,,,,,,,,,
Tamber,,Tamber,Tapani,Planet,,,,,,,Colonies,,,,
Tamboon,,,,Planet,,,,,,,,,,,
Tammar,,,,Planet,Arid,,,Tammarian,,,Outer Rim,,,,
Tammuz-an,,,,Planet,Temperate,,,Tammuz-an,Human,,,,,,
Tana,,Endor,Moddell,Planet,,,,,,,Outer Rim,,,,
Tanalou,4th,Baralou,,Planet,Frozen wastes,,,,,,,,,,
Tanda,,Tanda,Tapani,Planet,,,,,,,Colonies,,,,
Tandankin,,,,Planet,Temperate,,,Human,,,,,,,
Tandis Four,4th,Tandis,,Planet,,,,,,,,,,,
Tanger,,Tanger,Tapani,Planet,,,,,,,Colonies,,,,
Tangrene,,,,Planet,Mountains,29,356,(Extinct),Human,,,,,,
Tanjay IV,4th,Tanjay,,Planet,,,,,,,,,,,
Tantajoc V,5th,Tantajo,,Planet,Jungle,,,,,,,,,,
Tanthior,,,,Planet,,,,,,,,,,,
Tantive V,5th,,,Planet,,,,,,,,,,,
Tantra,,Tantra,Elrood,Planet,Frozen wastes,,,,,,Outer RIm,,,,
Tanya,,Tanya,Tapani,Planet,,,,,,,Colonies,,,,
Tanzis,,Tanzis,Tapani,Planet,,,,,,,Colonies,,,,
Tao-Grant,1st,Tao-Grant,,Planet,Gas giant,,,None,None,,,,,,
Taoska,5th,Tyrius,,Planet,Frozen rock,,,,,,Mid Rim,,,,
Tar Morden,,,,Planet,,,,,,,,,,,
Tarabba Prime,,Tarabba,Tarabba,Planet,Temperate,,,,,,Outer Rim,,,,
Taraloon,,,Quintar Nebula,Planet,Rocky wastes,17,285,,Human,,,,,,
Targonn,,,,Planet,Mountain,,,Targonnian,,,,,,,
Tarhassan,,,,Planet,Temperate,,,Human,,,,,,,
Taria II,2nd,,,Planet,Swamp,,,,,,,,,,
Taris,,Taris,,Planet,Urban,,,Human,,Upper City,Outer Rim,,,,
Tarnooga,,Tarnooga,,Planet,,,,,,,,,,,
Tasariq,2nd,Tasar,,Planet,Wastelands,,,,,Tasariq City,Inner Rim,,,,
Tasariq,2nd,Tasar,,Planet,Temperate,25,372,Tasari,Human,Barimoq Crater,Inner Rim,,,,
Tashtor Seneca,,,,Planet,,,,,,,,,,,
Tas-La,,,Si'Klaata Cluster,Planet,,,,,,,,,,,
Taspir III,3rd,Taspir,,Planet,Hostile,,,,,,,,,,
Tasrin,,,,Planet,,,,,,,,,,,
Tatooine,1st,Tatoo,Arkanis,Planet,Desert,23,304,"Jawa, Sandpeople",Human,Bestine,Outer RIm,,,,
Tatrang,4th,Tatrang,,Planet,Frozen wastes,,,,,,,,,,
Tatrang I,1st,Tatrang,,Planet,Rocky desert,,,,,,,,,,
Tatrang II,2nd,Tatrang,,Planet,Rocky desert,,,,,,,,,,
Tatrang III,3rd,Tatrang,,Planet,Poisonous jungle,,,,,,,,,,
Tatrang V,5th,Tatrang,,Planet,Rocky wastes,,,,,,,,,,
Tatrang VI,6th,Tatrang,,Planet,Gas giant,,,None,None,,,,,,
Tatrang VII,7th,Tatrang,,Planet,Gas giant,,,None,None,,,,,,
Tatrang VIII,8th,Tatrang,,Planet,Asteroid,,,None,None,,,,,,
Tauber,,,Jaso,Planet,,,,,,,,,,,
Taul,,Gunthar,,Planet,Swamp,,,,,,,,,,
Tavitz,,Tavitz,Tapani,Planet,,,,,,,Colonies,,,,
Tavya,,Tavya,Tapani,Planet,,,,,,,Colonies,,,,
Tay'ah'loo,,,,Planet,,,,,,,,,,,
Te Hasa,,Te Hasan,Gree Enclave,Planet,Rocky desert,29,296,,Gree,,,,,,
Tebru,,,,Planet,,,,,,,Outer Rim,,,,
Tedel,,,,Planet,High-gravity,,,,,,,,,,
Teevan,,,,Planet,,,,Teevan,,,,,,,
Tefau,,,,Planet,,,,,,,,,,,
Teh'Jar  II,2nd,Teh'Jar,Minos Cluster,Planet,,,,,,,,,,,
