PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
Jabiim,,,,Planet,Marshland and swamps,,,Jabiimite,,,Outer Rim,,,,
Jaemus,,Jaemus,Pentastar Alignment,Planet,,,,,,,,,,,
Jagga II,2nd,Venjagga,,Planet,,,,,,,,,,,
Jagga VII,7th,Venjagga,,Planet,Gas giant,,,None,None,,,,,,
Jalarren,,,,Planet,Temperate,,,Human,,,,,,,
Jaminere,,,Allied Tion,Planet,,,,,,,Outer Rim,,,,
Janara III,3rd,Janara,,Planet,Grassy plains,,,Human,,,,,,,
Jandoon,,Jandoon,Corva,Planet,Temperate,25,273,Brizzit,,,Outer Rim,,,,
Jandur,,,,Planet,,,,,,,,,,,
Jangelle,,Jangelle,Kathol,Planet,Sandy lowlands,,,,Human,,Outer Rim,,,,
Janguine,,,,Planet,Varied,,,Mooloolian,,,,,,,
Janilis VII,7th,Janilis,,Planet,,,,,,,,,,,
Jankok,,,,Planet,Warm,,,Srrors'tok,,,,,,,
Janodral Mizar,,,,Planet,,,,,,,,,,,
Jante,,Jante,,Planet,,,,,,Reynols,,,,,
Jappe,,Jappe,Tapani,Planet,,,,,,,Colonies,,,,
Jardeen IV,4th,Jardeen,,Planet,,,,,,,,,,,
Jarvanam,,,Astal,Planet,,,,,,,,,,,
Jastro III,3rd,Jastro,,Planet,,,,,,,,,,,
Jatee (destroyed),3rd,Demophon,,Planet,Rocky wastes,546,467,Ssither,,,,,,,
Javaal,7th,Brentaal,Bormea,Planet,Ice,,,,,,Core Worlds,,,,
Javin,,Javin,Javin,Planet,Urban,25,310,"Human, Mugaari",,,Mid Rim,,Breathable,Standard,
Javis,,Javis,Tapani,Planet,,,,,,,Colonies,,,,
Javis-12,Asteroid,Mestra,Minos Cluster,Planet,Frozen wastes,,,None,Human,,,,,,
Jaxus,,,,Planet,Hot,,,Human,,,,,,,
Jazbina,,,,Planet,Temperate,,,Jazbinan,Human,,,,,,
Jedd 6,6th,Jedd,,Planet,,,,,,,,,,,
Jellyfish Cove,,,,Planet,,,,,,,,,,,
Jendar,,,,Planet,,,,,,,,,,,
Jendorn,,,,Planet,,,,,,,,,,,
Jenenma,,,,Planet,,,,,"Duros, Various",,,,,,
Jentawui,7th,Both,,Planet,Frozen rock,,,,,,Mid Rim,,,,
Jerijador,,,Calaron,Planet,Temperate,,,,,,,,,,
Jerne,,,,Planet,Barren,,,Jerni (extinct),Human,Jerne City,,,,,
Jerrilek,,Jerrilek,,Planet,Tropical ocean,14,594,Human,Ithorian,Graleca,,,,,
Jestan,,,,Planet,,,,,,,,,,,
Jeyell,,,,Planet,,,,,,,Mid Rim,,,,
Jhas,4th,Hoth,Anoat,Planet,Gas giant,,,,,,Outer Rim,,,,
Jhensrus,,,Trax,Planet,Jungle,,,,Human,,,,,,
Jiaan,,,,Planet,,,,Human,,,,,,,
Jinda,,Jinda,Tapani,Planet,,,,,,,Colonies,,,,
Jinet,,,Brak,Planet,,,,,,,,,,,
Jiroch-Reslia,3rd,Jiroch,,Planet,Temperate,,,Tunroth,,,Mid Rim,,,,
Jjannex II,,,,Planet,,,,,,,,,,,
Jodaka,,,,Planet,Ocean,,,,Needler Crab,,,,,,
Jofoger,,,,Planet,,,,Human?,,,,,,,
Joiol,,Joiol,Orus,Planet,Varied,,,,,,Outer Rim,,,,
Jomark,2nd,Jomark,,Planet,Ocean,23,312,Human,,,,,,,
Joodrudda,,,Corporate,Planet,Arid,,,,,,Outer Rim,,,,
Joralla,3rd,Joralla,,Planet,Varied,26,310,Tikiarri,Human,,,,Breathable,Standard,
Joruna,,Koornacht,Farlax,Planet,,,,,,,Core Worlds,,,,
Jovan,,,,Planet,,,,,,,,,,,
J't'p'tan (Doornik-628E),5th,Doornik-628,Farlax,Planet,Temperate,22,407,H'kig,Human,,Core Worlds,,,,
Jubilar,,,,Planet,Arid,,,Human?,,,,,,,
Julsujod III,3rd,Julsujod,,Planet,Aquatic,,,Iskalonian (Stribers),,,,,,,
Jumus,,,,Planet,,,,,,,Core Worlds,,,,
Jun,1st,Faarlson,,Planet,Searing rock,,,None,None,,,,,,
Junction (Feriae Junction),2nd,Feriae,Sumitra?,Planet,Temperate,21,292,Human,"Duros, Twi'lek",Junction City,Outer Rim,,Breathable,Standard,"8,400 kilometers"
Junction 5,,,,Planet,Temperate,,,,,Rion,,,,,
Jurzan,,,,Planet,,,,,,,,,,,
Jussafet Four,4th,Jussafet,,Planet,Temperate,,,Human,,,,,,,
Jweab VII,7th,,,Planet,,,,,,,,,,,
