PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
Uaua,,Ua,Centrality,Planet,,,,Quor'sav,,,Outer Rim,,,,
Uba I,1st,Uba,,Planet,Radioactive wastes,,,None,None,,,,,,
Uba II,2nd,Uba,,Planet,Radioactive wastes,,,None,None,,,,,,
Uba III (destroyed),3r4d,Uba,,Planet,,,,None,None,,,,,,
Uba IV,4th,Uba,,Planet,Temperate,,,Ubese,None,,,,,,
Uba V,5th,Uba,,Planet,Radioactive wastes,,,None,None,,,,,,
Ubertica,,Ubertica,,Planet,,,,,Ubese,,,,,,
U'Dray,,,,Planet,,,,Human?,,,,,,,
Uhanayih,,Yinchorri,,Planet,,,,,,,Expansion Region,,,,
Uhltenden,,,,Planet,Toxic,,,,,,,,,,
Ukio,,Ukian,Abrion,Planet,Temperate plains,22,357,Ukian,Human,,,,,,
Ulabos,11th,Coruscant,Seswenna (Coruscant),Planet,Frozen rock,,,,,,Core Worlds,,,,
Ulda Frav,,,,Planet,Tropical,,,,,,,,,,
Ulicia,,,Corporate,Planet,,,,,,,Outer Rim,,,,
Ultaar,,,,Planet,,,,,,,,,,,
Uluu,9th,Zug,,Planet,Ice,,,,,,Core Worlds,,,,
Umaren'k,,,,Planet,,,,Umaren'k'sa,Hemes Arbora,,Unknown Regions,,,,
Umbara,,,Ghost Nebula,Planet,,,,Umbaran,,,Outer Rim,,,,
Umboo,,Roon,,Planet,,,,Human,,,,,,,
Umgul,,Darglum,Sluis,Planet,"Cool, moist",25,361,"Human, Ugnaught",Blob,Umgul City,Mid Rim,,,,
Unknown World,,,,Planet,,,,Rakatan,,,,,,,
Uogo'cor,,,Trax,Planet,,,,Uogo,Human,,,,,,
UR41-284,,,,Planet,,,,,,,,,,,
Urazuun,6th,Zug,,Planet,Gas giant,,,,,,Core Worlds,,,,
Urce,,Urce Space,Lesser Plooriod Cluster,Planet,,,,,Human,Pa'hir'al City,,,,,
Urdur,,,Mayagil,Planet,Frozen wastes,,,,,,Outer Rim,,,,
Urfon,5th,Axum,Azure (Sector Zero),Planet,Frozen rock,,,,,,Core Worlds,,,,
Uriek,,,,Planet,,,,,,,,,,,
Urkupp (destroyed),,,,Planet,Barren wasteland,,,Dashade (extinct),,,,,,,
Uru,,,,Planet,,,,Oni,,,Outer Rim,,,,
Usean II,2nd,Usean,,Planet,Varied,,,,,,,,,,
Ussuis,2nd,Centares,,Planet,Toxic oceans,,,,,,Mid Rim,,,,
Ut,,,Hapes Cluster,Planet,,,,Human,,,Inner Rim,,,,
Utapau,,,Tarabba,Planet,Sinkholes,,,"Utai, Pau'an",,,Outer Rim,,,,
Utharis,,Koornacht Cluster,Farlax? Utharis?,Planet,,,,Tarrack,,,Core Worlds,,,,
Utrost,,,,Planet,,,,Human,,,Core Worlds,,,,
Uukaablis,,Uukaablis,Kathol,Planet,Temperate,28,426,Uukaablian,Human,,Outer Rim,,Breathable,Standard,
Uvena III,3rd,Uvena,Sesswenna,Planet,,,,Shistavanen,,,Outer Rim (Periphery),,,,
Uvena Prime,,Uvena,Sesswenna,Planet,,,,Shistavenan,,,Outer Rim (Periphery),,,,
Uviuy Exen,,,Shwuy,Planet,,,,Human?,,,,,,,
Uyter,,,,Planet,,,,Human,,,Mid Rim,,,,
