PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
Vaal (V-798),,,,Planet,Temperate,,,Human,,,,,,,
Vaathkree,3rd,Vaath'kror,Periphery,Planet,Volcanic,54,197,"Vaathkree, Vnal, Stoneslingers",,,,,,,
Vaenrood,,,,Planet,,,,,,,,,,,
Vagran,,,Corellian,Planet,,,,,,,Core Worlds,,,,
Vakkar,,,Fakir,Planet,,,,,,,,,,,
Valc VII,7th,Valc,,Planet,,,,,,,Imperial Remnant,,,,
Valera,,,,Planet,,,,,,,,,,,
Valgauth,,V1-V2,,Planet,Toxic,26,669,None,Human,,,,,,
Valrar,,,Glythe,Planet,,,,,,,,,,,
Vandelhelm,1st,Vandelhelm,,Planet,Temperate,22,292,Human,Sullustan,,Expansion,,Breathable,1.2 times Standard,"8,008 kilometers"
Vandor-1,3rd,Coruscant,Seswenna (Coruscant),Planet,Barren rock,,,,,,Core Worlds,,,,
Vandor-2,4th,Coruscant,Seswenna (Coruscant),Planet,Barren rock,,,,,,Core Worlds,,,,
Vandor-3,5th,Coruscant,Sesswenna (Coruscant?),Planet,Temperate,,,,,,Core Worlds,,,,
Vandos,,,,Planet,,,,,,,,,,,
Vandron,,,,Planet,,,,,,,,,,,
Vannix,1st,Vankalay,Kuat,Planet,Temperate,,,,,,,,,,
Vanqor,,Uziel,,Planet,Temperate,,,Human,,,,,,,
Varl,1st,Ardos,,Planet,Barren,,,Hutt,,,,,,,
Varlinaar,,,,Planet,,,,,,,,,,,
Varn,,,,Planet,Water,,,"Lossor, Cheeb",,,,,,,
Varonat,,,Anoat,Planet,Jungle,27,325,Morodin,Human,,Outer Rim,,Breathable,.95 Standard,
Varristad,,,,Planet,Barren,,,,,,,,,,
Vasch,,,,Planet,Grassy plains,,,,,,,,,,
Vasha,,,Moddell,Planet,Desert,22,402,Vashan,Ayrou,Tatarrar,Outer Rim,,Breathable,1.1 times Standard,
Vastrip IV,4th,Vastrip,,Planet,,,,Human,,,,,,,
Vasuuli,,,Kliap,Planet,,,,,,,Colonies,,,,
Vatleria,,,,Planet,,,,,,,,,,,
Vatta Four,,,,Planet,,,,,,,,,,,
Vaynai,,,,Planet,Shallow oceans,29,336,,,,,,,,
Veccacopia,,,,Planet,,,,Cacop,,,,,,,
Vedis IV,,,,Planet,,,,,,,,,,,
Velabri,,,,Planet,,,,Velabri,,,,,,,
Veladine,6th,Velm,,Planet,Frozen wastes,,,,,,Mid Rim,,,,
Vellity,,Vellity,,Planet,,,,Borneck,,,,,,,
Velmooine,2nd,Velm,,Planet,Desert,,,,,,Mid Rim,,,,
Velmor,3rd,Velm,,Planet,Temperate,26,297,"Human, Velmoc",,Del Velmor,Mid Rim,,,,
Veloc,4th,Velm,,Planet,Gas giant,,,,,,Mid Rim,,,,
Velumia,3rd,Velus,,Planet,Gas giant,,,,,,Core Worlds,,,,
Velusia,2nd,Velus,,Planet,Ocean,22,325,Aquar,Various,,Core Worlds,,Breathable,Standard,"9,650 kilometers"
Velx-Shel,,,,Planet,,,,,,,,,,,
Vena,,Vena,,Planet,,,,,,,,,,,
Venaari,3rd,Vellakiya,,Planet,Varied,28,300,Human,,Ven-Kav,,,,,
Vendara,,,,Planet,Tropical,,,Vendara,,,,,,,
Vendaxa,,,,Planet,Varied,,,,,,,,,,
Vendrak V,5th,,,Planet,,,,,,,,,,,
Vendred,1st,Bissillirus,Trax,Planet,Barren rock,,56,,,,,,,,
Vengler,,,,Planet,Temperate,,,Human,,,,,,,
Venir,,Venir,,Planet,,,,,,,,,,,
Ventooine,,,,Planet,,,,,,Goyoikin,,,,,
Ventrux,,,,Planet,,,,Human,,,,,,,
Venzeiia 2 Prime,,,,Planet,,,,,,,,,,,
Verdanth,,,,Planet,Jungle,,,,,,,,,,
Vergill,,,Hapes Cluster,Planet,,,,Vergill,,,Inner Rim,,,,
Verisin,,,Bajic,Planet,,,,,,,,,,,
Verkuyl,,,,Planet,Alazhi jungle,27,315,,Human,,Outer Rim,,,,
Vernet,2nd,Vernet,,Planet,Temperate forest,25,335,,Human,Maz-Verlin,Expansion,,,,
Veron,2nd,Veron,Mektrun Cluster,Planet,Tropical forest,26,367,Gazaran,Human,Trelbio,,,Breathable,Standard,
Vessitoar,,,,Planet,,,,,,,,,,,
Vestar,,,,Planet,Jungle,,,Vestaari,,,,,,,
Vex Major (Far Gent),,Vex,Moddell,Planet,"Oceans, swamps",20,299,,Human,,Outer Rim,,Breathable,Standard,
Viamarr 4,,,,Planet,"Forest, plains",,,,,Velery,,,,,
Vicondor,,Vicondor,,Planet,,,,,,,Mid Rim,,,,
Vilosoria,,,Lifh,Planet,Temperate,,,Vilosorian,,,,,,,
Vilumia,4th,Velus,,Planet,Gas giant,,,,,,Core Worlds,,,,
Vinsoth,,,,Planet,Grassy plains,,,"Chevin, Chev",Backshin,,,,,,
Vinzen Neela 5,5th,,,Planet,,,,,,,,,,,
Virgillia 7,,Virgillian,,Planet,,,,,Human,,,,,,
Virmeude,,,Mayagil,Planet,Frozen Rock,36,520,None,Various,,Outer Rim,,,,
Virujansi,,,,Planet,,,,Human,,,,,,,
Vispil,,,,Planet,,,,,,,,,,,
Vizcarra,,,,Planet,,,,,,,,,,,
Vjun,,,Moddell,Planet,Rocky wastes,,,,,,Outer Rim,,,,
Vladet,,Rachuk,Rachuk,Planet,Temperate,,,,,,,,,,
Vlemoth Port,,,,Planet,,,,,,,,,,,
Vo,7th,Sacorria,Corellian,Planet,Frozen rock,,,,,,Core Worlds,,,,
Vob,,,,Planet,Gas giant,,,,,,,,,,
Vobos,,,,Planet,,,,,,,,,,,
Vodran,,,Si'Klaata Cluster,Planet,Swamps,,,Vodran,Dianoga,,Outer Rim,,,,
Vogel 7,,,,Planet,,,,Human,,,,,,,
Vohai,,,Parmel,Planet,,,,,,,,,,,
Voktunma,,,,Planet,,,,,,,,,,,
Von-Alai,,,,Planet,Polluted,,,Alain,,,,,,,
Voniss,,,,Planet,,,,,,,,,,,
Vontor,,,,Planet,,,,,,,,,,,
Voon,,Voon,,Planet,,,,,,,,,,,
Voorlach,,,,Planet,,,,,,,,,,,
Voorsbain,,,,Planet,,,,,,,,,,,
Vorian Four,4th,Vorian,,Planet,Toxic,,,,,,,,,,
Vornax,,Vornax,,Planet,Rocky desert,,,,,,,,,,
Vortex,,Ten Tempests,,Planet,Varied,18,421,Vor,Human,,Mid Rim,,,,
Vorusku,,,,Planet,Oceanic,,,,,,,,,,
Vorzyd 4,4th,Vorzyd,,Planet,,,,Vorzydiak,Human,,,,,,
Vorzyd 5,5th,Vorzyd,,Planet,Urban,,,Vorzydiak,Human,,,,,,
Voss,,,,Planet,,,,Human,,,,,,,
Vosteltig,,,,Planet,,,,,,,,,,,
V'Rof,3rd,N'zoth,Farlax,Planet,Volcanic,,,,,,Core Worlds,,,,
Vrosynri VIII,8th,Vrosynri,Ciutric Hegemony,Planet,,,,,,,,,,,
Vryssa,,,,Planet,Forests,,,,Human,,,,,,
V'shar,,,,Planet,,,,Ka'hren,,,,,,,
Vuchelle,,,,Planet,,,,,,,,,,,
Vulcar,,,,Planet,Volcanic,,,,,,,,,,
Vulp Major,6th,Vulpter,,Planet,Gas giant,,,,,,Deep Core,,,,
Vulp Minor,5th,Vulpter,,Planet,Frozen rock,,,,,,Deep Core,,,,
Vulpter,3rd,Vulpter,,Planet,Varied,22.5,391,Vulptereen,Various,,Deep Core,,Polluted,Standard,"14,900 kilometers"
Vulpus,1st,Vulpter,,Planet,Searing rock,,,,,,Deep Core,,,,
Vulta,Atreyis,,,Planet,,,,Vultan,,Drom,Mid Rim,,,,
Vulvarch,,,,Planet,,,,,,,,,,,
Vuma,,,,Planet,,,,,,,Core Worlds,,,,
Vunak,,,,Planet,,,,Human (Vunakian),,,,,,,
Vundaria,,,,Planet,,,,,,,,,,,
Vurdon Ka,,,,Planet,Temperate plains,,,Vuvrian,,,Inner Rim,,,,
Vuzsa,,Lorn,,Planet,,,,,,,,,,,
