PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
M2398,3rd,,,Planet,Gas giant,,,None,,,,,,,
Ma'ar Shaddam,,,,Planet,Barren rock,,,,,,,,,,
Maccent,,,,Planet,,,,,,,,,,,
Mackar,,,,Planet,Aquatic,,,Iskalonian (Frid),,,,,,,
Maddules,5th,Metellos,,Planet,Gas giant,,,,,,Core Worlds,,,,
Maedano,1nd,Metellos,,Planet,Barren rock,,,,,,Core Worlds,,,,
Magagran,,,,Planet,,,,,,,,,,,
Maires,,,Hapes Cluster,Planet,Ocean,,,Mairan,,,Inner Rim,,,,
Mairne,,Mairne,Kathol,Planet,,,,,,,Outer Rim,,,,
Majesticas,3rd,Metellos,,Planet,Toxic,,,,,,Core Worlds,,,,
Majilop,,,Lol,Planet,,,,,,,,,,,
Majoor,,,,Planet,,,,Human,,,,,,,
Makem Dua,2nd,Makem,,Planet,Volcanic,,,,,,Outer Rim,,,,
Makem Hek,6th,Makem,,Planet,Gas giant,,,,,,Outer Rim,,,,
Makem Liva,5th,Makem,,Planet,Gas giant,,,,,,Outer Rim,,,,
Makem Pria,1st,Makem,,Planet,Searing rock,,,,,,Outer Rim,,,,
Makem Qat,4th,Makem,,Planet,Gas giant,,,,,,Outer Rim,,,,
Makem Sup,7th,Makem,,Planet,Frozen rock,,,,,,Outer Rim,,,,
Makem Te,3rd,Makem,,Planet,Desert,45,188,Swokes Swokes,,Thousand Thousand,Outer Rim,,Breathable,Standard,"12,700 kilometers"
Makksre,,,,Planet,,,,,,,,,,,
Makthierse,,,,Planet,Crystalline,,,,,,,,,,
Malanose,,Malanose,Gree Enclave,Planet,"Wetlands, jungle",18,320,,Gree,,,,,,
Malastare,,,,Planet,,,,Dug,Gran,,Outer Rim (Expansion?),,,,
Maldra IV,4th,Maldra,Shandola,Planet,Temperate,,,,,,Outer Rim,,,,
Malicar 3,3rd,Malicar,,Planet,Rocky wastes,,,,,,,,,,
Malkii,,,,Planet,,,,Human?,,,,,,,
Mall'ordian,,,Corporate,Planet,,,,,,,Tingel Arm,,,,
Malo VI,6th,Malo,,Planet,,,,,,,,,,,
Malrev,4th,Malrev,,Planet,Temperate jungle,,,Irrukiine,,,,,,,
Malthor,,,,Planet,Urban,,,"Human, Reigat",,,,,,,
Mamendin,,,,Planet,,,,,,,Core Worlds,,,,
Manaan,2nd,Pyrshak,,Planet,Oceanic,26,422,Selkath,,Ahto City,Mid Rim,,Breathable,1.3 times Standard,"14,211 kilometers"
Manalin,1st,Joralla,,Planet,Rocky wastes,,,,,,,,,,
Manda,,Manda,,Planet,,,,Human,,Aroo,,,,,
Mandalore,,,,Planet,Temperate,,,Human,,Kedalbe,,,,,
Manforgon,,,,Planet,,,,,,,,,,,
Mangez,,,Brak,Planet,,,,,,,,,,,
Manpha,,,,Planet,,,,Shawda Ubb,,,,,,,
Manress,,,,Planet,,,,Stokhli,,,,,,,
Mantarran,,,,Planet,,,,,,,,,,,
Mantessa,,,Orus?,Planet,Dense jungle,,,,Panthac,,Outer Rim,,,,
Mantooine,,Mantooine,Atrivis,Planet,,,,,Human,,,,,,
Manwess III,3rd,,Kilbanis,Planet,,,,,,,,,,,
Maphus Tria,,,,Planet,,,,,,,,,,,
Mapuzo,,,,Planet,,,,,,,,,,,
Maramere,,Karthakk,Karthakk,Planet,Aquatic,,,Mere,,Point Modie,Outer Rim,,,,
Marasai,,,Marasa Nebula,Planet,Temperate,,,Marasan,,,,,,,
Marca,1st,Marcellus,,Planet,Swamp,,340,Sekct,Human,,,,,,
Marenn Yagen,1st,Bovo Yagen,,Planet,Searing rock,,,None,None,,,,,,
Maridun,,,,Planet,"Forests, plains",,,Amanin,,,,,,,
Marjune,1st,Tirahnn,Zeemacht Cluster,Planet,Barren rock,,,,,,,,,,
Markon IV,,,,Planet,,,,,,,,,,,
Marmoth,,,,Planet,,,,,,,,,,,
Marngar III,3rd,Marngar,,Planet,Temperate,,,Human,,,,,,,
Maro Della,,,,Planet,,,,,,,,,,,
Marotan,,,,Planet,,,,,,,,,,,
Marquarra,,,,Planet,,,,,,,,,,,
Mar'ta I,6th,Kothlis,,Planet,Frigid,,,,,,Mid Rim,,,,
Mar'ta II,7th,Kothlis,,Planet,Frigid,,,,,,Mid Rim,,,,
Maryx Minor,,,,Planet,Volcanic,,,,Human,,,,,,
Masalou,2nd,Baralou,,Planet,Rocky wastes,,,,,,,,,,
Mastala,3rd,Garnib,,Planet,Frozen wastes,,,,,,,,,,
Masterra,,,,Planet,,,,Human,,,,,,,
Matacorn,,,,Planet,,,,,,,,,,,
Mataou,,,Anoat,Planet,Desert,20,440,,Human,,Outer Rim,,Breathable,1.1 times Standard,
Matarri,,,,Planet,,,,,,,,,,,
Matra VI,,,Corporate,Planet,,,,,,,Tingel Arm,,,,
Mattri,Asteroid,,,Planet,,,,,,,,,,,
Mawan,,,,Planet,Temperate,,,Mawan,,,,,,,
Maxca,,,Brak,Planet,,,,,,,,,,,
Maya Kovel,,,Moddell,Planet,Arid,29,463,Ayrou,"Vashan, Human",,Outer Rim,,Breath mask advised,.9 Standard,
Mayro,,,Corporate,Planet,,,,,,,Tingel Arm,,,,
Mazuma,,,,Planet,,,,,,,,,,,
M'Buh,6th,N'zoth,Farlax,Planet,Barren rock,,,,,,Core Worlds,,,,
Meastrinnar,,,,Planet,Temperate,,,Human,,,,,,,
Mechis III,3rd,Mechis,,Planet,,,,Human?,,,,,,,
Medepiest,,,,Planet,,,,,,,,,,,
