PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
Gabredor III,3rd,Gabredor,,Planet,Jungle,22,352,,Various,,,,,,
Gacerian,,Gacerian,,Planet,Desert,36,375,Gacerite,,,,,,,
Gadon 3,3rd,Gadon,,Planet,,,,Gadon,,,,,,,
Gailea,,,,Planet,,,,,,,,,,,
Gaios,,,,Planet,,,,,,,,,,,
Gala,,,,Planet,,,,Human? Galacian,,Galu,Outer Rim,,,,
Galaan,,Galaanus,Corva,Planet,Gas giant,132,479,None,None,,Outer Rim,,,,
Galand,,,,Planet,,,,"Galandan, H'kig",,,,,,,
Galantos,2nd,Utos,Farlax,Planet,Gelatinous pools,31,299,Fia,,,Core Worlds,,Breathable,.85 standard,"10,840 kilometers"
Galidraan,,,,Planet,Temperate,,,,,,,,,,
Galleefryn II,,,,Planet,Jungle,,,,,,,,,,
Gallinore,,Opoku,Hapes Cluster,Planet,Temperate forests,,,,Rainbow Gem,,Inner Rim,,,,
Galltine,,,,Planet,,,,,,,,,,,
Galpos II,,Woldona,,Planet,,,,,,,,,,,
Galtea,,Galtea,Kathol,Planet,Forest,22,277,,Human,,Outer Rim,,,,
Galvoni III,,,,Planet,,,,,,,,,,,
Gamandar,,Iskalon,,Planet,Temperate,,,Gamandar,,,,,,,
Gambolla,,,,Planet,,,,,,,,,,,
Gammalin,,,,Planet,,,,Human (extinct),,,,,,,
Gamorr,,Opoku,Dufilvian?,Planet,Varied,28,380,Gamorrean,,,Outer Rim,,,,
Ganash,5th,Both,,Planet,Gas giant,,,,,,Mid Rim,,,,
Ganath,,Ganath,,Planet,Temperate,,,Human,,,,,,,
Gand,,,,Planet,Gaseous,,,Gand,,,Outer Rim,,,,
Gandalla,,,,Planet,,,,,,,,,,,
Gandeal,,,,Planet,Temperate,,,Human,,,Mid Rim,,,,
Gandle Ott,,Ott,Kathol,Planet,Temperate,25,367,Human,,Montrol City,Outer Rim,,,,
Gandrossi VI,6th,Gandrossi,Perinn,Planet,,,,,Human,,,,,,
Gandrun II,,,,Planet,Desert,,,,,,,,,,
Ganeid IV,4th,Ganeid,,Planet,Temperate,,,,,,,,,,
Gania,,Gania,Tapani,Planet,,,,,,,Colonies,,,,
Ganlihk,,Ganlihk,,Planet,Forest,,,,,,,,,,
Ganthel,,,,Planet,,,,Human?,,,,,,,
Gantho,,Gantho,,Planet,,,,,,,,,,,
Gap Nine,,,,Planet,Swamp,,,,,,,,,,
Garban,4th,Tau Sakar,,Planet,Variable,,,Jenet,,,,,,,
Garen IV,4th,,,Planet,,,,,,,,,,,
Gargolyn IV,,,,Planet,,,,Cor,,,,,,,
Gargon,,,,Planet,,,,,,,,,,,
Garia,,,Brak,Planet,,,,,,,,,,,
Garn,,,,Planet,,,,,,,,,,,
Garnib,1st,Garnib,,Planet,Frigid,35,432,Balinaka,"Human, Kubaz, Vernoi",,,,Breathable,Standard,
Garobi,,Garobi,Tapani,Planet,,,,,,,Colonies,,,,
Garos IV,4th,Garos,,Planet,Forest,25,382,Human,Sundar,Ariana,Mid Rim,,,,
Garqi,,,,Planet,Temperate plains,29,388,Human,,Pesktda,Outer Rim,,,,
Garrthinius,,,,Planet,,,,,,,,,,,
Garsala,5th,Gorsh,,Planet,Volcanic wastes,,,,,,Outer Rim,,,,
Gart,2nd,Demar,Brak,Planet,Rocky wastes,,,,,,,,,,
Gartana,4th,Gorsh,,Planet,Poisonous Ocean,,,,,,Outer Rim,,,,
Garulag,3rd,Corula,Bormea,Planet,Gas giant,,,,,,Core Worlds,,,,
Garvyn,,,,Planet,,,,,,,,,,,
Gascon,,,,Planet,,,,,,,,,,,
Gastol,3rd,Brentaal,Bormea,Planet,Gas giant,,,,,,Core Worlds,,,,
Gastrula,,,,Planet,Temperate,,,Gastrulan,,,,,,,
Gathus,,,,Planet,,,,Human,,,,,,,
Gaulus,,,,Planet,,,,Gaulian,Human,,,,,,
Gaurick,,,Corporate,Planet,,,,,,,Tingel Arm,,,,
Gavens,,,,Planet,,,,,,,,,,,
Gavryn,,,,Planet,,,,,,,,,,,
Gbu,,,,Planet,,,,Veubgri,,,,,,,
Gedi IV,4th,,,Planet,,,,,,,,,,,
Geedon V,5th,,Sumitra,Planet,Temperate,,,Human,,,,,,,
Gelgelar,,,,Planet,Swamp,30,287,Glarsaur,Various,Gelgelar Free Port,Outer Rim,,"Breathable, with shvash gas",Standard,
Geminor,2nd,Lianna,Allied Tion,Planet,Poisonous,,,None,,,Outer Rim,,,,
Genarius,4th,Cularin,,Planet,Gas giant,30,1424,,,,Mid Rim,,,,
Genassa,,,M'shinni,Planet,,,,M'shinni,,,,,,,
Gendius V,5th,Gendius,,Planet,,,,,,,,,,,
Gendoraan,,,,Planet,,,,,,,,,,,
Generis,,Atrivis,Atrivis,Planet,Jungle,42,234,Human,,,,,,,
Genesia,2nd,Genesia,Brak,Planet,Temperate,30,291,,Human,Brenn,,,Breathable,Standard,
Genian,,,,Planet,Urban,,,Genian,,,,,,,
Genon,,,,Planet,Semi-tropical,,,,,,,,,,
Gentes,3rd,Anoat,Anoat,Planet,Hostile,22,200,Ugnaught,,,Outer Rim,,Polluted,.9 Standard,
Geonosis,,,,Planet,,,,Geonosian,,,Outer Rim,,,,
Geran,,Mneon,,Planet,,,,,Shell Bat,,,,,,
Gerbaud 2,2nd,Sepan,Sepan,Planet,,,,,,,,,,,
Gerhalt III,3rd,Gerhalt,,Planet,,,,,,,,,,,
Geridard,,Geridard,Doldur,Planet,Temperate,,,Human,,,Mid Rim,,,,
