PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
Da Soocha,,Cyax,Hutt Space,Planet,Ocean,,,Ixll,,,Outer Rim,,,,
Daalang,,,,Planet,,,,,,,,,,,
Dachat,,,,Planet,,,,,,,,,,,
Dadrus,3rd,Marcellus,,Planet,Gas giant,,,None,None,,,,,,
Daemen,,,,Planet,,,,,,,,,,,
Dagelin Minor,,,,Planet,,,,,,,,,,,
Dagobah,,Dagobah,Sluis,Planet,Swamp,23,341,,"Dragonsnake, Swamp Slug",,Outer Rim,,,,
Dagro,,,,Planet,Temperate plains,,,Human,,,,,Breathable,,
Dagu,,,,Planet,,,,,,,,,,,
Dahvil,,,Rayter,Planet,Temperate,,,Human,,,,,,,
Dakot 7,7th,Dakot,Mortex,Planet,,,,,,,,,,,
Dakshee,,,Barma,Planet,,,,Human,,,Colonies,,,,
Dakuyl,,,,Planet,,,,,,,Outer Rim,,,,
Dalastine,,,,Planet,,,,,,,Outer Rim,,,,
Dalos IV,4th,Dalos,Nilgaard,Planet,Jungle,59,3211,,Various,,Outer Rim,,,,
Dalron 5,,,,Planet,Temperate,,,Human?,,,,,,,
Dalron IV,,,,Planet,,,,,,,,,,,
Daltar,,,Orus?,Planet,,,,,,,Outer Rim,,,,
Daltarra,,,,Planet,,,,,,,,,,,
Daluba,,,,Planet,,,,,,,,,,,
Daluuj,,,,Planet,"Unstable, aquatic",,,,Waterworm,,,,,,
Daminia,,,,Planet,,,,,,,,,,,
Damonite Yors B,5th,,Meridian,Planet,"Frigid, methane tundra",,,None,None,,Outer Rim,,,,
Dampher,,Dampher,Tapani,Planet,,,,,,,Colonies,,,,
Damualer Triac,,,,Planet,,,,Human,,,,,,,
Danadine,,,Dail,Planet,,,,,,,,,,,
Danalbeth,,,,Planet,Aquatic,,,Iskalonian (Graygl),,,,,,,
Danar,1st,Vernet,,Planet,Searing rock,,,,,,Expansion,,,,
Danchian Prime,,,,Planet,,,,,,,,,,,
Dancreti,,,,Planet,Tropical jungles,,333,,,,,,,,
Dandalas,,Koornacht Cluster,Farlax,Planet,,,,,,,Core Worlds,,,,
Dankayo,,,,Planet,Temperate,,,Human,,,,,,,
Danoor,,Nah'Mails,Kathol,Planet,Temperate,25,201,,Human,Eror Zeen,Outer Rim,,Breathable,Standard,
Da'nor,,Delantine,,Planet,Daily seasonal changes,,,Ectotherm,,,,,,,
Danteel,,,,Planet,,,,Human,,,Core Worlds,,,,
Dantooine,,Dantooine,Raioballo,Planet,Temperate plains,25,378,Dantari,Human,,Outer Rim,,,,
Dantooine's Second Star,,,,Planet,Barren,,,,,,,,,,
