PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
Yablari,,Yablari,,Planet,,,,Anomid,,,,,,,
Yabosta,,,,Planet,,,,,,,,,,,
Yaga Minor,,,Sesswenna,Planet,Forest,23,451,Yagai,Human,,Outer Rim,,,,
Yag'Dhul,,Yag'Dhul,,Planet,,175,,Givin,,Dodecapolis,Inner Rim,,,,
Yalara,,,,Planet,,,,,,,,,,,
Yalln,,,,Planet,,,,Human,,,,,,,
Yaralou,3rd,Baralou,,Planet,Water,,,,,,,,,,
Yarnil,,,,Planet,,,,Human,,,Outer Rim,,,,
Yaronn,,,,Planet,Water,,,,,,,,,,
Yarrv,,,,Planet,Tropical,,,,Human,,,,,,
Yashuvhu,,,,Planet,Temperate,,,Human (Yashuvhi),,,Unknown Regions,,,,
Yasilor,,,Bajic,Planet,,,,,,,,,,,
Yavin,2nd,Yavin,Sumitra,Planet,Gas giant,11,4858,None,None,,Outer Rim,,Toxic,2.74 times Standard,"192,478 kilometers"
Yefowr,,,,Planet,Arid,,,,,,,,,,
Yelsain,,Yelsain,Minos Cluster,Planet,Forest,24,249,,Human,,,,,,
Yeltha,1st,Both,,Planet,Searing rock,,,,,,Mid Rim,,,,
Yen-2,Asteroid,Verde,Periphery,Planet,,,,,,,,,,,
Yerphonia,,,,Planet,,,,,,,,,,,
Yeshocq,,,,Planet,Temperate,,455,,,,,,,,
Yetnis,,,,Planet,,,,,,,,,,,
Yetoom Na Uun,,,Senex,Planet,,,,,,,Outer Rim,,,,
Yetoros,4th,Utos,Farlax,Planet,Gas giant,,,,,,Core Worlds,,,,
Ygziir (destroyed),,,,Planet,,,,,,,,,,,
Yhifar,,,,Planet,Gas Giant,,,None,None,,,,,,
Yhuli,,,,Planet,,,,,,,,,,,
Yibikkoror,,Yinchorri,,Planet,Dense atmosphere,,,,Yinchorri,,Expansion Region,,,,
Yinchorr,,Yinchorri,,Planet,Barren wastes,,,Yinchorri,,,Expansion Region,,,,
Yir Tangee,,,,Planet,,,,,,,,,,,
Yir Tangee,,,,Planet,,,,,,,Colonies,,,,
Yisagga,,,,Planet,,,,,,,,,,,
Yitheeth,,Yinchorri,,Planet,Shallow seas,,,,Yinchorri,,Expansion Region,,,,
Yityl,,,,Planet,,,,,Human,,,,,,
Ylesia,,Cha Raaba (Ylesian),,Planet,Temperate,,,,"Hutt, t'landa Til, Human",,Outer Rim,,,,
Ylix,,,,Planet,,,,Human,,,Mid Rim,,,,
Yn,,,,Planet,,,,,,,,,,,
Yntrann,,,,Planet,Desert,,,,,,,,,,
Y'nybeth,,,,Planet,,,,Plasmar,,,,,,,
Yoberra,,,,Planet,,,,,,,,,,,
Yoribuunt,,,,Planet,Gas giant,,,,,,Hutt Space,,,,
Yorn Skot,,,,Planet,Gas giant,,,,,,,,,,
Y'taa,,,,Planet,,,,,,,,,,,
Y'Trella,,Y'Trella,,Planet,,,,,,,,,,,
Yuga 2,2nd,Yuga,,Planet,Rainforest,,,,,,,,,,
Yugami,,,,Planet,,,,,,,,,,,
Yulant,,Yulant,,Planet,,,,,,,Core Worlds,,,,
Yunkor IX,9th,,,Planet,,,,,,,,,,,
Yurb,,,,Planet,Arid,,,,,,,,,,
Yutusk,,,,Planet,Temperate,,,Human,,,,,,,
Yuuzhan'tar,,,,Planet,,,,Yuuzhan Vong,,,Extra-galactic,,,,
Yvara,,,Kathol,Planet,Temperate,36,453,Yvarema,,,Outer Rim,,,,
