PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
Oasis,,,,Planet,Rocky,,,,Human,,,,,,
Obas,2nd,Obas,,Planet,Volcanic,42,401,None,None,,,,,,
Obelia,,Obelia,Tapani,Planet,,,,,,,Colonies,,,,
Obica,,Sullust,Sluis,Planet,,,,Sullustan?,,,Outer Rim,,,,
Obinipor,,Obinipor,,Planet,,,,,,,,,,,
Oblis (destroyed),,Cularin,,Planet,Jungle,,,Oblee,,,Mid Rim,,,,
Obredaan,,,,Planet,,,,,,,,,,,
Obroa-held,,Obroa-skai,,Planet,Gas giant,,,,,,Inner Rim,,,,
Obroa-skai,,Obroa-skai,,Planet,Frozen expanses,26,456,Obroans,Humans,,Inner Rim,,,,
Obulette,4th,Obulette,Tapani,Planet,Urban,20,404,Human,,,Colonies,,,,
Ockbur,1st,Ralltiir,Darpa,Planet,Hot rock,,,,,,Core Worlds,,,,
Odae Ripp,1st,Thaere,,Planet,Grasslands,,,,Bothan,,,,,,
Odik II,,,,Planet,,,,,,,,,,,
Oetrago,,,Mayagil?,Planet,,,,,,,Outer Rim,,,,
Off-Canau,,,,Planet,,,,,,,,,,,
Ogden Minor,,,,Planet,Temperate jungle,,,,,,,,,,
Ogem,,,,Planet,,,,Ogemite,,,,,,,
Ogoth Tiir,,,,Planet,,,,,,,,,,,
Ohann,2nd,Tatoo,Arkanis,Planet,Gas giant,,,None,None,,Outer Rim,,,,
Ohda,4th,Obas,,Planet,,,,,,,,,,,
Ohratuu,,,,Planet,,,,,,,,,,,
Ojom,,,,Planet,Frigid,,,Besalisk,,,Core Worlds,,,,
Oko E,,,,Planet,Temperate,,,,,,,,,,
Olabria,,,,Planet,,,,,Trichoid,,,,,,
Olanji,,,Hapes Cluster,Planet,,,,Human,,,Inner Rim,,,,
Old Mankoo,,,,Planet,,,,Human?,,,,,,,
Oligtaz,,,,Planet,,,,,,,,,,,
OM811 (Kastin),1st,Thrantin,Ollonir Boundaries,Planet,,,,,,,,,,,
OM812 (Rantorin),2nd,Thrantin,Ollonir Boundaries,Planet,,,,,,,,,,,
OM813 (Thrantin),3rd,Thrantin,Ollonir Boundaries,Planet,Terraformed,,,None,Various,,,,Toxic,Standard,
OM814 (Hirin),4th,Thrantin,Ollonir Boundaries,Planet,,,,,,,,,,,
Omar,,Omar,,Planet,,,,,,,,,,,
Omdrid,7th,Beheboth,,Planet,Frozen ice,,,,,,Outer Rim,,,,
