PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
Babali,,,,Planet,Tropical,,,Human?,,,,,,,
Babbadod,,,,Planet,,,,,,,,,,,
Bacrana,2nd,Bacrana,Brak,Planet,Temperate,22,289,Human,,Amma,,,Breathable,Standard,
Baes Logia,,,,Planet,Temperate,,,,,,,,,,
Baffop,,,,Planet,Temperate,,,Human,,,,,,,
Ba'Har,4th,Coyn,Elrood,Planet,Gas giant,,,None,None,,Outer Rim,,,,
Bak,1st,Bakura,,Planet,Molten rock,,,None,None,,Outer Rim,,,,
Bakarr,3rd,Katorrs,,Planet,Frozen ice,,,,,,Wild Space,,,,
Bakura,3rd,Bakura,Orus?,Planet,Temperate,,,Kurtzen,Human,,Outer Rim,,,,
Bala,1st,Aramand,Brak,Planet,Searing rock,,,,,,,,,,
Balamak,,,Taldot,Planet,Plains and grasslands,,,,,,Mid Rim,,,,
Balanor,,,,Planet,Jungle,,,,,,,,,,
Balfron,,,,Planet,,,,Human?,,,,,,,
Ballikite,,,,Planet,,,,Rakririan,,,,,,,
Balmorra,,Nevoota,Sesswenna?,Planet,Temperate,,,Human?,,Bin Prime,Colonies,,,,
Balosar,,,,Planet,Polluted,,,Balosar,,,Core Worlds,,,,
Baltimn,,,,Planet,Temperate,,,Human,,,Outer Rim,,,,
Baltizaar,,,,Planet,,,,,,,,,,,
Bancar,,,Rayter,Planet,,,,,,,,,,,
Bandomeer,,,,Planet,Industrial wasteland,,,Meerian,"Human, Arcona",,Outer Rim,,,,
Bandonia,,Bandonian,,Planet,,,,Human,,,,,,,
Ban-Satir II,,,,Planet,,,,,,,,,,,
Barab I,1st,Barab,Roche,Planet,"Irradiated, rocky wastes",60,146,Barabel,,Alater-ka,Outer Rim,,Breathable,Standard,"10,448 kilometers"
Barab II,2nd,Barab,,Planet,Frozen rock,,,,,,Outer Rim,,,,
Barab III,3rd,Barab,,Planet,Gas giant,,,,,,Outer Rim,,,,
Baraboo,,,,Planet,,,,,,,,,,,
Baradas II,2nd,,,Planet,,,,,,,,,,,
Baralou,1st,Baralou,,Planet,Tropical oceans,22,295,"Krikthasi, Multopos",Human,,,,Breathable,Standard,
Baramorra,,,,Planet,Temperate,,,,Various,,,,,,
Barenth,,,,Planet,Toxic,,,,,,,,,,
Barhu,1st,Churba,Churba,Planet,Molten rock,,,None,None,,Mid Rim,,,,
Barison,,,,Planet,Water,,,,,,,,,,
Barkhesh,,,,Planet,Jungle,,,,,,,,,,
Barnaba,,Barnaba,Tapani,Planet,Mountainous,25,352,Human,,,Colonies,,,,
Baroli,,,,Planet,Temperate,,,Human,,,,,,,
Baroonda,,,,Planet,Volcanic swamps,,,Majan,,,,,,,
Baros,,Bari,,Planet,Arid,,,Brubb,,,,,,,
Barpine,,,,Planet,,,,,,,,,,,
Barseg,,,Allied Tion,Planet,,,,,,,Outer Rim,,,,
Basho,5th,Rhinnal,Darpa,Planet,Ice,,,,,,Core Worlds,,,,
Basilisk,,,Moddell?,Planet,Desolate wastes,,,,,,Outer Rim,,,,
Baskarn,,,,Planet,Jungle,,,Yrashu,Hrosma Tiger,,Outer Rim,,,,
Bassadro,,,,Planet,,,,,,,,,,,
Basteel,,,,Planet,Temperate,,,,,,,,,,
Bastion,,Sartinayian,Braxant,Planet,Temperate,,,,Human,,Outer Rim,,,,
Batorine,,,,Planet,Temperate,,,Blood Carver,,,Colonies,,,,
Bavva,,,Anoat,Planet,Low forest,,,,Nothoiin,,Outer Rim,,,,
Bazaar,,,,Planet,,,,,,,,,,,
Beauchen,,,,Planet,,,,,,,,,,,
Beckoning Call Starr 3,,,,Planet,,,,Human,,,,,,,
Bedara,2nd,Caridan,,Planet,Barren rock,,,,,,,,,,
Begeren,,,,Planet,,,,,,,,,,,
Beheboth,4th,Beheboth,,Planet,Desert,28,411,Tirrith,"Bothan, Human",Prosperity (Garrotine),Outer Rim,,Breathable,Standard,"11,496 kilometers"
Behenui,5th,Beheboth,,Planet,Gas giant,,,,,,Outer Rim,,,,
Belasco,,,,Planet,,,,Human,,Senta,,,,,
Belazura,,,,Planet,Temperate,,,,,,,,,,
Belderone,,,,Planet,,,,Belderonian,,,Outer Rim,,,,
Belgaroth,4th,Belgaroth,,Planet,Urban,20,300,Human,,Belgar,Core Worlds,,Breathable,Standard,"6,500 kilometers"
Belkadan,,,Dalonbian,Planet,Jungle,,,,Human,,Outer Rim,,,,
Bellis IV,4th,,Demetras,Planet,,,,,,,,,,,
Belnar,,,,Planet,Marshlands,,,Khil,,,Colonies,,,,
Belorphyn,9th,Derilyn,Elrood,Planet,Frozen wastes,,,,,,Outer Rim,,,,
Belovia,,,,Planet,,,,,,,,,,,
Belsavis,,Belsavis,Ninth Quadrant,Planet,"Frozen, volcanic",,,"Mluki, Mookla","Pellata, manollium",,Mid Rim,,,,
Belshar Othacuu,,,,Planet,Temperate,,,Human,,,Core Worlds,,,,
Belsmuth II,2nd,Belsmuth,,Planet,,,,,Human,,,,,,
Belthu,,,,Planet,,,,,,,,,,,
Beltrix III,3rd,Beltrix (Six Local Systems),,Planet,,,,,,,,,,,
Bendeluum,,Bendeluum,Anoat,Planet,,,,,,,Outer Rim,,,,
Bendone,,,,Planet,,,,Howler Tree People,,,,,,,
Beneris,1st,Atrig,,Planet,Rocky wastes,,,,,,Outer Rim,,,,
Bengat,,,,Planet,Aquatic,,,,,,,,,,
Bengely,,,,Planet,,,,,,,,,,,
Benja-Rihn,,,,Planet,Desert,,,,,,,,,,
Benon,,Delantine,,Planet,,,,,,,,,,,
Berason,,,,Planet,,,,,,,,,,,
Berchest,,Berchest,Anthos? Orus?,Planet,"Temperate, crystal-based",21,381,Berchestian,Various,Calius saj Leeloo,,,,,
Berea,,Berea,Elrood,Planet,Rocky mountains,,,Human,,,Outer Rim,,,,
Berri,,,,Planet,,,,Berrite,,,Inner Rim,,,,
Berrol's Donn,,,,Planet,,,,,,,,,,,
Berrun,,,,Planet,,,,,,,,,,,
Berusa,1st,Garos,,Planet,,,,,,,,,,,
Besberra,,Besberra,,Planet,,,,,,,,,,,
Bescane,,Obtrexta,,Planet,Industrial,30,332,,Human,,,,,,
Besn,,,,Planet,,,,,,,,,,,
Bespin,3rd,Bespin,Anoat,Planet,Gas giant,12,10220,None,"Human, Ugnaught, Lutrillian",Cloud City,Outer Rim,,Breathable (in Life Zone),Standard (in Life Zone),"118,000 kilometers"
Bessimir,,,,Planet,,,,,,,,,,,
Bestine IV (Bestine),4th,Bestine,,Planet,Rocky,,,Human,,,Inner Rim,,,,
Beta Olikark,,,,Planet,,,,,,,,,,,
Beta Rhama,,,,Planet,,,,,,,,,,,
Betal,,,,Planet,,,,Poraskor?,,,,,,,
Betha II,2nd,Betha,Corva,Planet,Arid wastes,20,117,None,Various,,Outer Rim,,,,
Bethal,,Bethal,Tapani,Planet,Forest,,,Human,,,Colonies,,,,
Bethany,4th,Kalinda,,Planet,Barren,,,None,None,,,,,,
Bethars,,,,Planet,,,,Human,,,,,,,
Betolio,,Betolio,Tapani,Planet,,,,,,,Colonies,,,,
Betshish,,,,Planet,Swamp,,,,,,,,,,
Bettok,,,,Planet,,,,Human,,,,,,,
Bevell III,3rd,Bevell,,Planet,,,,,,,,,,,
Bextar,,Bextar,Velcar Free Commerce Zone,Planet,Gas giant,,,,,,,,,,
Bezim,,Bezim,,Planet,,,,,,,Mid Rim,,,,
Bhuna Sound,,,,Planet,,,,,,,,,,,
Bianas,,Bianas,Tapani,Planet,,,,,,,Colonies,,,,
Biewa,,,,Planet,,,,,Human,,,,,,
Biitu,,,,Planet,Barren wastes,,,Biituian,,,,,,,
Biivren,,,,Planet,Toxic,,,Human?,,,Expansion,,,,
Bilagen,4th,New Plympto,Corellian,Planet,Frozen rock,,,,,,Core Worlds,,,,
Bilbringi VII,7th,Bilbringi,Farfin,Planet,Asteroid,,830,None,Various,,Inner Rim,,,,
Bilios,,Bilios,Tapani,Planet,,,,,,,Colonies,,,,
Bimmiel,5th,MZX33291,,Planet,Varied,,,,,,Outer Rim,,,,
Bimmisaari,,Saari Ha,Halla,Planet,Semi-tropical,26,302,Bimm,,,Mid Rim,,,,
Binaros,,Binaros,Kathol,Planet,"Forest, jungle",32,110,,,,Outer Rim,,Breathable,Standard,
Biolag,2nd,Corula,Bormea,Planet,Gas giant,,,,,,Core Worlds,,,,
Biosh,2nd,Hoth,Anoat,Planet,Barren rock,,,,,,Outer Rim,,,,
Blenjeel,,,,Planet,Desert,,,,,,,,,,
Blimph,,Blimph,,Planet,,,,,,,,,,,
Blyte,,Blyte,Tapani,Planet,,,,,,,Colonies,,,,
Bnach,,,,Planet,Scorched wastes,,,None,None,,,,,,
Bnar VII,7th,,,Planet,,,,,,,,,,,
Boden,,,,Planet,"Urban, Temperate",,,Human,,,Core Worlds,,,,
Bodgen,,,,Planet,,,,,,,,,,,
Bodgen,,,,Planet,,,,,,,,,,,
Bodrin,,Bodrin,Elrood,Planet,Rocky mountains,,,Human,,,Outer Rim,,,,
Bofa II,,,,Planet,,,,,,,,,,,
Bogden,,,,Planet,Seismic,,,,,,Inner Rim,,,,
Bonadan,,Bonadan,Corporate,Planet,Barren wastes,,,Human,,,Tingel Arm,,,,
Boonta,,,,Planet,Temperate,,,,,,,,,,
Boordii,,,Sumitra,Planet,Temperate,,,Human?,,,,,,,
Boranall,,,,Planet,Temperate,,,Human,,,,,,,
Borcorash,,,,Planet,,,,,,,,,,,
Bordal,,Taroon,,Planet,,,,Human,,,,,,,
Borgo Prime,Asteroid,Taroon,,Planet,Arid,,,None,None,,,,,,
Borkyne,,,,Planet,,,,,,,,,,,
Borleias (Blackmoon),4th,Pyria,,Planet,Jungle,,,,,,Colonies,,,,
Borlov,,,,Planet,,,,Borlovian,,,,,,,
Borosk,,,Imperial Remnant,Planet,Temperate,,,,,,,,,,
Bortras,,,Sesswenna,Planet,Temperate,,,Human,,,Outer Rim,,,,
Bosch,,,,Planet,,,,,,,,,,,
Bosph,,,Bosph,Planet,Blasted wastes,,,Bosph,,,Outer Rim,,,,
Bosthirda,,,,Planet,,,,,,,,,,,
Botajef,,,,Planet,,,,,,,,,,,
Bothan's Planet,,,,Planet,,,,,,,,,,,
Bothawui,3rd,Both,,Planet,Temperate,27,351,Bothan,Various,Drev'starn,Mid Rim,,,,
Botor,,,,Planet,Temperate,,,Human,,,,,,,
Boudolayz,,,,Planet,,,,,,,,,,,
Bovo Yagen,2nd,Bovo Yagen,,Planet,Humid jungle,28,386,Bovorian,Human,,,,,,
Boz Pity,,,,Planet,,,,,,,,,,,
Boztrok,,,,Planet,,,,Human?,,,Outer Rim,,,,
Bpfassh,(Double),Bpfassh,Sluis,Planet,Temperate desert,,,Bpfasshi,Human,,Outer Rim,,,,
Brachnis Chorios,,Chorios,Meridian,Planet,,,,,,,Outer Rim,,,,
Bragkis,,,,Planet,,,,,,,,,,,
Branteez,,,,Planet,,,,,,,Outer Rim,,,,
Brath Qella (Maltha Obex),,Qella,,Planet,Frozen wastes,,,Qella,,,,,,,
Breeka,,,,Planet,Desert,,,,,,,,,,
Brentaal,4th,Brentaal,Bormea,Planet,"Semi-arid, urban",23,342,Human,,Cormond,Core Worlds,,Breathable,Standard,"11,242 kilometers"
Brenu,2nd,Beheboth,,Planet,Barren,,,,,,Outer Rim,,None,,
Bresallis,,,,Planet,,,,,"Human, Hutt",,,,,,
Bresan,,,Kathol,Planet,Barren,,,,Human,,Outer Rim,,,,
Bresnan,,Wellte-ir,Trax,Planet,Temperate,,,,,,,,,,
Bresnia,,,,Planet,,,,,,,,,,,
Bretta,,,Corporate,Planet,Varied,,,Human,,,Tingel Arm,,,,
Brevost,,Brevost,,Planet,Temperate,,,Human?,,,,,,,
Bridin Anchorage (Gallienis IV),4th,Gallienis,Portmoak,Planet,,,,,Human,Bridis City,,,,,
Briggia,,,,Planet,,,,,,,,,,,
Brigia,,,Tion Hegemony,Planet,Temperate,,,Brigian,,,Outer Rim,,,,
Brintooin,,,,Planet,Temperate flatlands,,,Human,,,,,,,
Brochiib,,,Corporate,Planet,,,,Trianii,,,Tingel Arm,,,,
Brodo Asogi,,,,Planet,,,,,,,,,,,
Broest,,Broest,,Planet,,,,Human,,,,,,,
Brolsam,,Brolsam,Kathol,Planet,,,,,,,Outer Rim,,,,
Bront,,,,Planet,Dry wastes,,,Human,,,,,,,
Brosi,4th,Dostra,Corporate,Planet,Lush forests,26,289,Brosin,Human,,Thandon Cluster,,Breathable,Standard,
Bryexx,,,Varvenna,Planet,,,,Human,,,,,,,
Bryndar,,,,Planet,Frozen ice and snow,,,,,,,,,,
Bryx,,,,Planet,,,,Human,,,,,,,
Bseto I,1st,Bseto,,Planet,Rocky wastes,,,,,,Mid Rim,,,,
Buamlon Central,,,,Planet,,,,,,,,,,,
Budpock,,Chorios,Meridian,Planet,,,,,,,Outer Rim,,,,
Bundim,,,Trax,Planet,,,,,Human,Heg,,,,,
Bunduki,,,,Planet,,,,Bunduki,,,,,,,
Burnin Konn,,,Anoat,Planet,Barren wastes,,,,,,Outer Rim,,,,
Burska,,,,Planet,Tundra,,,,,,Mid Rim,,,,
Butler's Cove,,Stribos,,Planet,Temperate,25,380,,Ssither,,,,,,
Byblos,,,,Planet,"Temperate, urban",38,402,Human,,Byblos City,Colonies,,Breathable,Standard,
Byss,,Byss/Abyss,Farfin,Planet,Arid,,,Abyssin,Gaunt,,Inner Rim,,,,
Byss (destroyed),5th,Beshqek,,Planet,Temperate,31,207,Human,,,Deep Core,,Breathable,Standard,"21,600 kilometers"
